,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Lukasz Fabianski,G,1,Sep 18,WHU,@EVE,L 0-1,6.0,90,1
1,Lukasz Fabianski,G,1,Sep 3,WHU,@CHE,L 1-2,4.5,90,1
2,Lukasz Fabianski,G,1,Aug 31,WHU,TOT,T 1-1,7.5,90,1
3,Lukasz Fabianski,G,1,Aug 28,WHU,@AVL,W 1-0,16.5,90,1
4,Lukasz Fabianski,G,1,Aug 21,WHU,BHA,L 0-2,6.0,90,1
5,Lukasz Fabianski,G,1,Aug 14,WHU,@NOT,L 0-1,10.5,90,1
6,Lukasz Fabianski,G,1,Aug 7,WHU,MCI,L 0-2,2.0,28,1
0,Alphonse Areola,G,1,Aug 7,WHU,MCI,L 0-2,2.0,60,0
0,Vladimir Coufal,D,2,Sep 18,WHU,@EVE,L 0-1,7.7,90,1
1,Vladimir Coufal,D,2,Sep 3,WHU,@CHE,L 1-2,10.35,90,1
2,Vladimir Coufal,D,2,Aug 31,WHU,TOT,T 1-1,8.6,90,1
3,Vladimir Coufal,D,2,Aug 28,WHU,@AVL,W 1-0,15.05,66,0
4,Vladimir Coufal,D,2,Aug 21,WHU,BHA,L 0-2,4.7,74,1
5,Vladimir Coufal,D,2,Aug 14,WHU,@NOT,L 0-1,7.25,90,1
6,Vladimir Coufal,D,2,Aug 7,WHU,MCI,L 0-2,9.1,90,1
0,Thilo Kehrer,D,2,Sep 18,WHU,@EVE,L 0-1,8.25,90,1
1,Thilo Kehrer,D,2,Sep 3,WHU,@CHE,L 1-2,2.05,90,1
2,Thilo Kehrer,D,2,Aug 31,WHU,TOT,T 1-1,1.2,90,1
3,Thilo Kehrer,D,2,Aug 28,WHU,@AVL,W 1-0,15.75,90,1
4,Thilo Kehrer,D,2,Aug 21,WHU,BHA,L 0-2,4.3,90,1
0,Ben Johnson,D,2,Aug 28,WHU,@AVL,W 1-0,4.5,22,1
1,Ben Johnson,D,2,Aug 21,WHU,BHA,L 0-2,3.75,14,0
2,Ben Johnson,D,2,Aug 14,WHU,@NOT,L 0-1,6.95,90,1
3,Ben Johnson,D,2,Aug 7,WHU,MCI,L 0-2,5.6,90,1
0,Kurt Zouma,D,2,Sep 18,WHU,@EVE,L 0-1,7.95,90,1
1,Kurt Zouma,D,2,Sep 3,WHU,@CHE,L 1-2,6.7,90,1
2,Kurt Zouma,D,2,Aug 31,WHU,TOT,T 1-1,6.6,90,1
3,Kurt Zouma,D,2,Aug 28,WHU,@AVL,W 1-0,15.1,90,1
4,Kurt Zouma,D,2,Aug 21,WHU,BHA,L 0-2,7.2,90,1
5,Kurt Zouma,D,2,Aug 14,WHU,@NOT,L 0-1,9.4,90,1
6,Kurt Zouma,D,2,Aug 7,WHU,MCI,L 0-2,5.2,90,1
0,Angelo Ogbonna,D,2,Sep 3,WHU,@CHE,L 1-2,1.35,6,0
1,Angelo Ogbonna,D,2,Aug 31,WHU,TOT,T 1-1,2.0,17,0
0,Aaron Cresswell,D,2,Sep 18,WHU,@EVE,L 0-1,6.7,88,1
1,Aaron Cresswell,D,2,Aug 31,WHU,TOT,T 1-1,6.0,71,1
2,Aaron Cresswell,D,2,Aug 28,WHU,@AVL,W 1-0,14.05,90,1
3,Aaron Cresswell,D,2,Aug 21,WHU,BHA,L 0-2,5.7,90,1
4,Aaron Cresswell,D,2,Aug 14,WHU,@NOT,L 0-1,9.25,90,1
5,Aaron Cresswell,D,2,Aug 7,WHU,MCI,L 0-2,9.4,90,1
0,Emerson,D,2,Sep 18,WHU,@EVE,L 0-1,0.5,1,0
1,Emerson,D,2,Sep 3,WHU,@CHE,L 1-2,5.6,90,1
2,Emerson,D,2,Aug 31,WHU,TOT,T 1-1,-0.5,4,0
3,Emerson,D,2,Aug 28,WHU,@AVL,W 1-0,3.25,45,1
0,Tomas Soucek,M,4,Sep 18,WHU,@EVE,L 0-1,9.35,90,1
1,Tomas Soucek,M,4,Sep 3,WHU,@CHE,L 1-2,8.3,90,1
2,Tomas Soucek,M,4,Aug 31,WHU,TOT,T 1-1,21.45,90,1
3,Tomas Soucek,M,4,Aug 28,WHU,@AVL,W 1-0,12.1,90,1
4,Tomas Soucek,M,4,Aug 21,WHU,BHA,L 0-2,11.5,90,1
5,Tomas Soucek,M,4,Aug 14,WHU,@NOT,L 0-1,9.25,90,1
6,Tomas Soucek,M,4,Aug 7,WHU,MCI,L 0-2,7.2,90,1
0,Declan Rice,M,4,Sep 18,WHU,@EVE,L 0-1,9.1,90,1
1,Declan Rice,M,4,Sep 3,WHU,@CHE,L 1-2,20.7,90,1
2,Declan Rice,M,4,Aug 31,WHU,TOT,T 1-1,11.6,90,1
3,Declan Rice,M,4,Aug 28,WHU,@AVL,W 1-0,16.3,90,1
4,Declan Rice,M,4,Aug 21,WHU,BHA,L 0-2,12.6,90,1
5,Declan Rice,M,4,Aug 14,WHU,@NOT,L 0-1,5.8,90,1
6,Declan Rice,M,4,Aug 7,WHU,MCI,L 0-2,8.25,90,1
0,Flynn Downes,M,4,Aug 7,WHU,MCI,L 0-2,0.5,1,0
0,Conor Coventry,M,4,Aug 7,WHU,MCI,L 0-2,0.5,1,0
0,Lucas Paqueta,M,4,Sep 18,WHU,@EVE,L 0-1,4.2,61,1
1,Lucas Paqueta,M,4,Sep 3,WHU,@CHE,L 1-2,12.4,82,1
2,Lucas Paqueta,M,4,Aug 31,WHU,TOT,T 1-1,-0.65,22,0
0,Manuel Lanzini,M,4,Aug 21,WHU,BHA,L 0-2,0.75,14,0
1,Manuel Lanzini,M,4,Aug 14,WHU,@NOT,L 0-1,1.25,21,0
2,Manuel Lanzini,M,4,Aug 7,WHU,MCI,L 0-2,3.25,56,1
0,Pablo Fornals,M,4,Sep 18,WHU,@EVE,L 0-1,10.1,61,1
1,Pablo Fornals,M,4,Sep 3,WHU,@CHE,L 1-2,6.75,85,1
2,Pablo Fornals,M,4,Aug 31,WHU,TOT,T 1-1,7.8,84,1
3,Pablo Fornals,M,4,Aug 28,WHU,@AVL,W 1-0,22.5,90,1
4,Pablo Fornals,M,4,Aug 21,WHU,BHA,L 0-2,8.5,61,1
5,Pablo Fornals,M,4,Aug 14,WHU,@NOT,L 0-1,7.6,67,1
6,Pablo Fornals,M,4,Aug 7,WHU,MCI,L 0-2,9.5,88,1
0,Jarrod Bowen,"M,F",5,Sep 18,WHU,@EVE,L 0-1,13.5,90,1
1,Jarrod Bowen,"M,F",5,Sep 3,WHU,@CHE,L 1-2,11.0,90,1
2,Jarrod Bowen,"M,F",5,Aug 31,WHU,TOT,T 1-1,8.25,90,1
3,Jarrod Bowen,"M,F",5,Aug 28,WHU,@AVL,W 1-0,7.85,90,1
4,Jarrod Bowen,"M,F",5,Aug 21,WHU,BHA,L 0-2,8.0,90,1
5,Jarrod Bowen,"M,F",5,Aug 14,WHU,@NOT,L 0-1,4.6,84,1
6,Jarrod Bowen,"M,F",5,Aug 7,WHU,MCI,L 0-2,6.5,88,1
0,Said Benrahma,"M,F",5,Sep 18,WHU,@EVE,L 0-1,2.25,27,0
1,Said Benrahma,"M,F",5,Sep 3,WHU,@CHE,L 1-2,4.0,15,0
2,Said Benrahma,"M,F",5,Aug 31,WHU,TOT,T 1-1,7.75,66,1
3,Said Benrahma,"M,F",5,Aug 28,WHU,@AVL,W 1-0,6.5,45,0
4,Said Benrahma,"M,F",5,Aug 21,WHU,BHA,L 0-2,4.35,74,1
5,Said Benrahma,"M,F",5,Aug 14,WHU,@NOT,L 0-1,13.85,90,1
6,Said Benrahma,"M,F",5,Aug 7,WHU,MCI,L 0-2,3.0,32,0
0,Maxwel Cornet,"M,F",5,Sep 18,WHU,@EVE,L 0-1,3.0,27,0
1,Maxwel Cornet,"M,F",5,Sep 3,WHU,@CHE,L 1-2,1.25,3,0
2,Maxwel Cornet,"M,F",5,Aug 21,WHU,BHA,L 0-2,1.0,15,0
3,Maxwel Cornet,"M,F",5,Aug 14,WHU,@NOT,L 0-1,1.25,4,0
0,Michail Antonio,F,6,Sep 18,WHU,@EVE,L 0-1,7.0,69,1
1,Michail Antonio,F,6,Sep 3,WHU,@CHE,L 1-2,10.5,73,1
2,Michail Antonio,F,6,Aug 31,WHU,TOT,T 1-1,13.6,90,1
3,Michail Antonio,F,6,Aug 28,WHU,@AVL,W 1-0,2.35,24,0
4,Michail Antonio,F,6,Aug 21,WHU,BHA,L 0-2,4.25,73,1
5,Michail Antonio,F,6,Aug 14,WHU,@NOT,L 0-1,6.5,67,1
6,Michail Antonio,F,6,Aug 7,WHU,MCI,L 0-2,2.75,56,1
0,Gianluca Scamacca,F,6,Sep 18,WHU,@EVE,L 0-1,-1.0,19,0
1,Gianluca Scamacca,F,6,Aug 28,WHU,@AVL,W 1-0,7.35,64,1
2,Gianluca Scamacca,F,6,Aug 21,WHU,BHA,L 0-2,2.5,27,0
3,Gianluca Scamacca,F,6,Aug 14,WHU,@NOT,L 0-1,1.0,21,0
4,Gianluca Scamacca,F,6,Aug 7,WHU,MCI,L 0-2,2.25,32,0
