,Name,NormScore,Return,Starts,Active Starts,% Active, Expected Pts ,Ranker
110,Nathan Tella,21.5,0,0,0,0,#DIV/0!,
111,George Hirst,20.25,0,0,0,0,#DIV/0!,
112,Dennis Srbeny,20.24,0,0,0,0,#DIV/0!,
113,Connor Wickham,18.3,0,0,0,0,#DIV/0!,
114,Joao Pedro,17.58,0,0,0,0,#DIV/0!,
115,Bruno Jordao,17.5,0,0,0,0,#DIV/0!,
116,Nathan Holland,17.12,0,0,0,0,#DIV/0!,
117,Patrick Roberts,16.35,0,0,0,0,#DIV/0!,
118,Gedson Fernandes,15.91,0,0,0,0,#DIV/0!,
119,Odion Ighalo,14.65,0,0,0,0,#DIV/0!,
120,Sam Surridge,14.45,0,0,0,0,#DIV/0!,
121,Ignacio Pussetto,14.39,0,0,0,0,#DIV/0!,
122,Harvey Elliott,13.72,0,0,0,0,#DIV/0!,
123,Wayne Hennessey,13.58,0,3,0,0,#DIV/0!,
125,Jordan Ibe,13.4,0,0,0,0,#DIV/0!,
126,Eric Bailly,12.81,0,1,0,0,#DIV/0!,
127,Ralf Fahrmann,12.7,0,1,0,0,#DIV/0!,
128,Tommy Doyle,12.5,0,0,0,0,#DIV/0!,
129,Angel Gomes,12.5,0,0,0,0,#DIV/0!,
130,Ki Sung-Yueng,12.5,0,1,0,0,#DIV/0!,
131,Domingos Quina,12.5,0,0,0,0,#DIV/0!,
132,Morgan Gibbs-White,12.5,0,1,0,0,#DIV/0!,
133,Chicharito,12.38,0,1,0,0,#DIV/0!,
134,Josh Martin,12.14,0,0,0,0,#DIV/0!,
135,Dimitri Foulquier,12.12,0,1,0,0,#DIV/0!,
136,Phil Jagielka,11.88,0,2,0,0,#DIV/0!,
137,Brandon Pierrick,11.8,0,0,0,0,#DIV/0!,
138,Leighton Baines,11.51,0,4,0,0,#DIV/0!,
139,Emile Smith Rowe,11.5,0,1,0,0,#DIV/0!,
140,Ben Osborn,11.5,0,6,0,0,#DIV/0!,
141,Diogo Dalot,11.48,0,1,0,0,#DIV/0!,
142,Oliver Skipp,11.07,0,1,0,0,#DIV/0!,
143,Nathaniel Chalobah,10.84,0,10,0,0,#DIV/0!,
144,Carlos Sanchez,10.7,0,1,0,0,#DIV/0!,
145,Mario Vrancic,10.68,0,6,0,0,#DIV/0!,
146,Callum Robinson,10.58,0,9,0,0,#DIV/0!,
147,Victor Wanyama,10.5,0,0,0,0,#DIV/0!,
148,Luke Freeman,10.48,0,3,0,0,#DIV/0!,
149,Tom Trybull,10.23,0,14,0,0,#DIV/0!,
150,Isaac Success Ajayi,10.23,0,0,0,0,#DIV/0!,
151,Gaetan Bong,10.21,0,0,0,0,#DIV/0!,
152,Chris Mepham,10.2,0,10,0,0,#DIV/0!,
153,Alexis Mac Allister,10.18,0,4,0,0,#DIV/0!,
154,Lukas Rupp,10.02,0,8,0,0,#DIV/0!,
155,Tyrick Mitchell,10,0,2,0,0,#DIV/0!,
156,Jarrad Branthwaite,9.99,0,2,0,0,#DIV/0!,
157,Akin Famewo,9.95,0,0,0,0,#DIV/0!,
158,Jordan Thomas,9.95,0,0,0,0,#DIV/0!,
159,Sam Byram,9.91,0,15,0,0,#DIV/0!,
160,Ibrahim Amadou,9.75,0,8,0,0,#DIV/0!,
161,Michael McGovern,9.75,0,1,0,0,#DIV/0!,
162,Danny Drinkwater,9.67,0,5,0,0,#DIV/0!,
163,Bjorn Engels,9.64,0,15,0,0,#DIV/0!,
164,Max Meyer,9.6,0,6,0,0,#DIV/0!,
165,Matthew Longstaff,9.59,0,6,0,0,#DIV/0!,
166,Aaron Lennon,9.57,0,4,0,0,#DIV/0!,
167,Danny Welbeck,9.56,0,8,0,0,#DIV/0!,
168,Henri Lansbury,9.54,0,2,0,0,#DIV/0!,
169,Yoshinori Muto,9.46,0,2,0,0,#DIV/0!,
170,Jack Robinson,9.45,0,6,0,0,#DIV/0!,
171,Leroy Sane,9.4,0,0,0,0,#DIV/0!,
172,Maximilian Kilman,9.4,0,2,0,0,#DIV/0!,
173,Henrikh Mkhitaryan,9.33,0,1,0,0,#DIV/0!,
174,Ryan Bennett,9.33,0,10,0,0,#DIV/0!,
175,Kieron Freeman,9.32,0,0,0,0,#DIV/0!,
176,Troy Parrott,9.32,0,0,0,0,#DIV/0!,
177,Kortney Hause,9.31,0,17,0,0,#DIV/0!,
178,Jamaal Lascelles,9.21,0,24,0,0,#DIV/0!,
179,Max Thompson,9.15,0,0,0,0,#DIV/0!,
180,Georges-Kevin Nkoudou,9.15,0,0,0,0,#DIV/0!,
181,Tahith Chong,9.12,0,0,0,0,#DIV/0!,
182,Grant Hanley,9.11,0,14,0,0,#DIV/0!,
183,Jean-Philippe Gbamin,9.07,0,1,0,0,#DIV/0!,
184,Deandre Yedlin,9.07,0,10,0,0,#DIV/0!,
185,Orjan Nyland,9.01,0,5,0,0,#DIV/0!,
186,Faustino Anjorin,9,0,0,0,0,#DIV/0!,
187,Jeremu Ngakia,8.92,0,5,0,0,#DIV/0!,
188,Christoph Zimmerman,8.88,0,16,0,0,#DIV/0!,
189,Moritz Leitner,8.87,0,7,0,0,#DIV/0!,
190,Adam Idah,8.81,0,1,0,0,#DIV/0!,
191,Richairo Zivkovic,8.79,0,0,0,0,#DIV/0!,
192,Victor Camarasa,8.7,0,0,0,0,#DIV/0!,
193,Matty James,8.7,0,0,0,0,#DIV/0!,
194,Craig Cathcart,8.69,0,28,0,0,#DIV/0!,
195,Josh Bronwhill,8.68,0,9,0,0,#DIV/0!,
196,Axel Tuanzebe,8.63,0,2,0,0,#DIV/0!,
197,Andre Gomes,8.52,0,17,0,0,#DIV/0!,
198,Darren Randolph,8.5,0,2,0,0,#DIV/0!,
199,Borja Baston,8.45,0,0,0,0,#DIV/0!,
200,Jack Cork,8.44,0,30,0,0,#DIV/0!,
201,Pablo Zabaleta,8.42,0,6,0,0,#DIV/0!,
202,Max Aarons,8.34,0,36,0,0,#DIV/0!,
203,Jack Stacey,8.31,0,17,0,0,#DIV/0!,
204,Jonathan Kodjia,8.27,0,0,0,0,#DIV/0!,
205,Mbwana Samatta,8.06,0,11,0,0,#DIV/0!,
206,Kelland Watts,8,0,0,0,0,#DIV/0!,
207,Jack Rodwell,8,0,0,0,0,#DIV/0!,
208,Ezequiel Schelotto,7.89,0,4,0,0,#DIV/0!,
209,Maya Yoshida,7.86,0,6,0,0,#DIV/0!,
210,Neil Taylor,7.85,0,11,0,0,#DIV/0!,
211,Ben Johnson,7.82,0,3,0,0,#DIV/0!,
212,Rob Holding,7.8,0,6,0,0,#DIV/0!,
213,Marco Stiepermann,7.63,0,14,0,0,#DIV/0!,
214,Leon Clarke,7.58,0,0,0,0,#DIV/0!,
215,Jack Simpson,7.56,0,1,0,0,#DIV/0!,
216,Albian Ajeti,7.51,0,0,0,0,#DIV/0!,
217,Jed Steer,7.5,0,1,0,0,#DIV/0!,
218,James Garner,7.5,0,0,0,0,#DIV/0!,
219,Indiana Vassilev,7.42,0,0,0,0,#DIV/0!,
220,Andrew Surman,7.38,0,2,0,0,#DIV/0!,
221,Oumar Niasse,7.2,0,0,0,0,#DIV/0!,
222,Simon Moore,7,0,2,0,0,#DIV/0!,
223,Ben Godfrey,6.91,0,30,0,0,#DIV/0!,
224,Lloyd Kelly,6.87,0,7,0,0,#DIV/0!,
225,Mamadou Sakho,6.63,0,11,0,0,#DIV/0!,
226,Timm Klose,6.51,0,7,0,0,#DIV/0!,
227,Sebastian Prodl,6.5,0,1,0,0,#DIV/0!,
228,Jack Wilshere,6.26,0,2,0,0,#DIV/0!,
229,Adrian Mariappa,6.2,0,15,0,0,#DIV/0!,
230,Armando Broja,6,0,0,0,0,#DIV/0!,
231,Jake Vokins,5.7,0,1,0,0,#DIV/0!,
232,Jesus Vallejo,5.62,0,1,0,0,#DIV/0!,
233,Ravel Morrison,5.25,0,0,0,0,#DIV/0!,
234,Jurgan Locadia,4.92,0,1,0,0,#DIV/0!,
235,Charlie Daniels,4.92,0,2,0,0,#DIV/0!,
236,Marcos Rojo,4.82,0,1,0,0,#DIV/0!,
1,Kevin De Bruyne,23.23,281.55,32,32,100,20.8,20.7984375
5,Riyad Mahrez,19.13,121.95,21,21,100,17.81,17.80714286
3,Sadio Mane,17.29,138.2,31,31,100,16.46,16.45806452
2,Trent Alexander-Arnold,16.38,148.5,35,35,100,16.24,16.24285714
4,Adama Traore,17.91,133.6,27,25,92.59,16.06,16.05925926
9,Gabriel Jesus,18.36,84.85,21,21,100,16.04,16.04047619
6,Willian,16.82,116.95,29,29,100,16.03,16.03275862
7,Mohamed Salah,16,116.7,33,33,100,15.54,15.53636364
12,David Silva,16.14,77,22,22,100,15.5,15.5
11,Ricardo Pereira,15.19,80.55,28,27,96.43,14.45,14.44821429
10,Son Heung-Min,15.76,84.7,28,26,92.86,14.17,14.16785714
24,Bernardo Silva,15.66,48.4,23,23,100,14.1,14.10434783
15,Andrew Robertson,14.55,69.8,34,34,100,14.05,14.05294118
