Name,NormScore,Return,Starts,Active Starts,% Active
Aaron Ramsdale,10.6,6.5,34,20,58.82
Ainsley Maitland-Niles,11.21,1.8,2,2,100
Albert Sambi Lokonga,11.54,-27.05,12,10,83.33
Alexandre Lacazette,12.2,-32.5,20,17,85
Ben White,10.99,-20.1,32,23,71.88
Bernd Leno,9.62,0,4,0,0
Bukayo Saka,15.22,60.75,36,34,94.44
Cedric Soares,11.93,-24.05,16,10,62.5
Eddie Nketiah,14.81,-4.45,8,7,87.5
Emile Smith Rowe,15.74,-3.75,21,18,85.71
Folarin Balogun,11,-9.25,1,1,100
Gabriel Magalhaes,11.37,-29.05,35,23,65.71
Gabriel Martinelli,16.27,31.95,21,20,95.24
Granit Xhaka,9.05,-15.75,27,4,14.81
Kieran Tierney,13.1,27.65,22,16,72.73
Martin Odegaard,12.73,0.75,32,24,75
Mohamed Elneny,11.58,-8.15,8,6,75
Nicolas Pepe,14.86,17.7,5,5,100
Nuno Tavares,12.37,-17.3,13,10,76.92
Pablo Mari,8.88,-5.3,2,1,50
Pierre-Emerick Aubameyang,10.74,-18.35,12,8,66.67
Reiss Nelson,12.9,0,0,0,0
Rob Holding,10.76,6.45,9,5,55.56
Sead Kolasinac,6.78,0,1,0,0
Takehiro Tomiyasu,12.69,12,20,16,80
Thomas Partey,11.93,0.5,23,16,69.57
Ashley Young,10.48,-28,10,4,40
Axel Tuanzebe,10.12,-8.2,6,1,16.67
Bertrand Traore,13.39,-5.75,1,1,100
Calum Chambers,11.47,-6.7,11,5,45.45
Cameron Archer,6.37,0,0,0,0
Carney Chukwuemeka,12.62,-17.25,2,2,100
Danny Ings,11.57,-14.3,22,9,40.91
Douglas Luiz,11.16,-6.7,31,9,29.03
Emiliano Buendia,15.77,-18.45,22,17,77.27
Emiliano Martinez,9.71,-28.5,36,6,16.67
Ezri Konsa Ngoyo,8.81,-7.1,29,1,3.45
Jacob Ramsey,11.79,-28.45,29,16,55.17
Jaden Philogene-Bidace,5.25,0,0,0,0
Jed Steer,3.5,0,1,0,0
John McGinn,12.89,0.6,35,28,80
Keinan Davis,5.25,0,0,0,0
Kortney Hause,16.02,6,4,4,100
Leon Bailey,13.86,-19.4,7,4,57.14
Lucas Digne,12.31,7.1,29,16,55.17
Marvelous Nakamba,11.6,-7.65,10,3,30
Matthew Cash,13.2,22.55,38,26,68.42
Morgan Sanson,15.23,-5.15,3,3,100
Ollie Watkins,11.17,-27.9,33,13,39.39
Philippe Coutinho,15.97,3.55,16,14,87.5
Robin Olsen,5.5,0,1,0,0
Tim Iroegbunam,14.3,-3.4,1,1,100
Trezeguet,14.25,0,0,0,0
Tyrone Mings,10.55,8.45,35,15,42.86
Wesley,15.6,0,0,0,0
Alvaro Fernandez,9.88,-7.5,12,1,8.33
Bryan Mbeumo,10.31,-17.8,34,7,20.59
Charlie Goode,9.95,0,4,0,0
Christian Eriksen,15.57,26.45,10,8,80
Christian Norgaard,12.78,12.55,35,21,60
David Raya Martin,11.42,-6,24,10,41.67
Dominic Thompson,4.5,0,2,0,0
Ethan Pinnock,12.11,-28.3,32,14,43.75
Finley Stevens,17.5,0,0,0,0
Frank Onyeka,11.68,-5.4,12,2,16.67
Ivan Toney,13.04,13,32,17,53.12
Jonas Lossl,4,0,2,0,0
Kristoffer Ajer,11.9,-12.7,23,12,52.17
Mads Bech Sorensen,8.42,0,9,0,0
