player,club,pos,double_barrel,picture,19-20 Power Rk,20-21 Power Rk,21-22 Power Rk
Aaron Connolly,BHA,F,no,yes,322,337,483
Aaron Cresswell,WHU,D,no,yes,294,126,85
Aaron Lennon,BUR,M,no,yes,433,,348
Aaron Mooy,BHA,M,no,yes,133,,
Aaron Ramsdale,ARS,G,no,yes,208,351,114
Aaron Wan-Bissaka,MUN,D,yes,yes,48,17,73
Abdoulaye Doucoure,EVE,M,no,yes,200,220,171
Aboubakar Kamara,FUL,F,no,yes,,444,
Adam Armstrong,SOU,F,no,yes,,,318
Adam Forshaw,LEE,M,no,yes,,,287
Adam Idah,NOR,F,no,yes,463,,272
Adam Lallana,BHA,M,no,yes,299,183,305
Adam Masina,WAT,D,no,yes,151,,424
Adam Smith,BOU,D,no,yes,323,,
Adam Webster,BHA,D,no,yes,342,221,237
Adama Traore,WOL,F,no,yes,5,50,125
Addji Keaninkin Marc-Israel Guehi,CRY,D,yes,yes,,,280
Ademola Lookman,LEI,"M,F",no,yes,,127,103
Adrian,LIV,G,no,yes,196,319,
Adrian Mariappa,WAT,D,no,yes,401,,
Ahmed El Mohamady,AVL,D,no,yes,232,155,
Ahmed Hegazi,WBA,D,no,yes,,454,
Ainsley Maitland-Niles,ARS,M,yes,yes,207,279,329
Akin Famewo,NOR,D,no,yes,493,,
Albert Sambi Lokonga,ARS,M,no,yes,,,193
Albian Ajeti,WHU,F,no,yes,510,,
Alejandro Garnacho,MUN,M,no,yes,,,523
Aleksandar Mitrovic,FUL,F,no,yes,,213,
Alex Iwobi,EVE,"M,F",no,yes,118,123,153
Alex Kral,WHU,M,no,yes,,,498
Alex McCarthy,SOU,G,yes,yes,188,266,337
Alex Oxlade-Chamberlain,LIV,M,yes,yes,77,370,220
Alex Telles,MUN,D,no,yes,,179,28
Alexander Tettey,NOR,M,no,yes,311,,
Alexandre Jankewitz,SOU,M,no,yes,,467,
Alexandre Lacazette,ARS,F,no,yes,64,45,84
Alexis Mac Allister,BHA,M,no,yes,432,206,184
Alireza Jahanbakhsh,BHA,F,no,yes,363,296,
Alisson,LIV,G,no,yes,59,162,27
Allan,EVE,M,no,yes,,332,308
Allan Saint-Maximin,NEW,"M,F",yes,yes,17,31,51
Allan Tchaptchet,SOU,D,no,yes,,524,
Alphonse Areola,WHU,G,no,yes,,306,478
Alvaro Fernandez,BRF,G,no,yes,,,404
Amad Diallo,MUN,M,no,yes,,325,
Andi Zeqiri,BHA,M,no,yes,,496,
Andre Gomes,EVE,M,no,yes,396,252,314
Andre Gray,WAT,F,no,yes,377,,
Andre-Frank Zambo Anguissa,FUL,M,yes,yes,,49,
Andreas Christensen,CHE,D,no,yes,243,149,42
Andreas Pereira,MUN,M,no,yes,161,,
Andrew Omobamidele,NOR,D,no,yes,,,439
Andrew Robertson,LIV,D,no,yes,13,46,6
Andrew Surman,BOU,M,no,yes,446,,
Andriy Yarmolenko,WHU,F,no,yes,146,456,467
Andros Townsend,EVE,M,no,yes,113,34,67
Andy Carroll,NEW,F,no,yes,241,339,
Angel Gomes,MUN,M,no,yes,486,,
Angelino,MCI,D,no,yes,263,,
Angelo Ogbonna,WHU,D,no,yes,333,314,376
Angus Gunn,NOR,G,no,yes,328,,382
Anthony Elanga,MUN,F,no,yes,,321,179
Anthony Gordon,EVE,F,no,yes,297,383,168
Anthony Martial,MUN,F,no,yes,28,147,350
Antonee Robinson,FUL,D,no,yes,,139,
Antonio Rudiger,CHE,D,no,yes,198,30,61
Antwoine Hackford,SHU,F,no,yes,,508,
Anwar El Ghazi,EVE,M,no,yes,117,115,316
Armando Broja,SOU,F,no,yes,514,,254
Arnaut Danjuma Groeneveld,BOU,"M,F",no,yes,276,,
Arthur Masuaku,WHU,D,no,yes,213,161,245
Ashley Barnes,BUR,F,no,yes,303,362,412
Ashley Fletcher,WAT,F,no,yes,,,499
Ashley Westwood,BUR,M,no,yes,262,278,387
Ashley Young,AVL,D,no,yes,288,,347
Asmir Begovic,EVE,G,no,yes,,,450
Axel Tuanzebe,AVL,D,no,yes,444,380,408
Aymeric Laporte,MCI,D,no,yes,71,129,36
Ayoze Perez,LEI,"M,F",no,yes,45,134,304
Bailey Peacock-Farrell,BUR,G,yes,yes,,432,
Bali Mumba,NOR,D,no,yes,,,532
Ben Chilwell,CHE,D,no,yes,81,32,140
Ben Davies,TOT,D,no,yes,295,248,154
Ben Foster,WAT,G,no,yes,187,,420
