Player,Team,Position,Position ID,Link
Aaron Ramsdale,BOU,G,1,https://www.fantrax.com/player/04amh/mw6f2ppvjyzvbd3c/aaron-ramsdale/fxtjq595jyzvbd3p
Mark Travers,BOU,G,1,https://www.fantrax.com/player/04vy4/mw6f2ppvjyzvbd3c/mark-travers/fxtjq595jyzvbd3p
Adam Smith,BOU,D,2,https://www.fantrax.com/player/02lp5/mw6f2ppvjyzvbd3c/adam-smith/fxtjq595jyzvbd3p
Jack Stacey,BOU,D,2,https://www.fantrax.com/player/05292/mw6f2ppvjyzvbd3c/jack-stacey/fxtjq595jyzvbd3p
Lloyd Kelly,BOU,D,2,https://www.fantrax.com/player/051k5/mw6f2ppvjyzvbd3c/lloyd-kelly/fxtjq595jyzvbd3p
Simon Francis,BOU,D,2,https://www.fantrax.com/player/03r8h/mw6f2ppvjyzvbd3c/simon-francis/fxtjq595jyzvbd3p
Steve Cook,BOU,D,2,https://www.fantrax.com/player/03r8i/mw6f2ppvjyzvbd3c/steve-cook/fxtjq595jyzvbd3p
Chris Mepham,BOU,D,2,https://www.fantrax.com/player/04ylt/mw6f2ppvjyzvbd3c/chris-mepham/fxtjq595jyzvbd3p
Jack Simpson,BOU,D,2,https://www.fantrax.com/player/03yti/mw6f2ppvjyzvbd3c/jack-simpson/fxtjq595jyzvbd3p
Nathan Ake,BOU,D,2,https://www.fantrax.com/player/02y6o/mw6f2ppvjyzvbd3c/nathan-ake/fxtjq595jyzvbd3p
Charlie Daniels,BOU,D,2,https://www.fantrax.com/player/03r8k/mw6f2ppvjyzvbd3c/charlie-daniels/fxtjq595jyzvbd3p
Diego Rico,BOU,D,2,https://www.fantrax.com/player/04t3u/mw6f2ppvjyzvbd3c/diego-rico/fxtjq595jyzvbd3p
Jefferson Lerma,BOU,M,4,https://www.fantrax.com/player/04tzt/mw6f2ppvjyzvbd3c/jefferson-lerma/fxtjq595jyzvbd3p
Philip Billing,BOU,M,4,https://www.fantrax.com/player/04f67/mw6f2ppvjyzvbd3c/philip-billing/fxtjq595jyzvbd3p
Lewis Cook,BOU,M,4,https://www.fantrax.com/player/043qy/mw6f2ppvjyzvbd3c/lewis-cook/fxtjq595jyzvbd3p
Dan Gosling,BOU,M,4,https://www.fantrax.com/player/02ltx/mw6f2ppvjyzvbd3c/dan-gosling/fxtjq595jyzvbd3p
Andrew Surman,BOU,M,4,https://www.fantrax.com/player/02m3z/mw6f2ppvjyzvbd3c/andrew-surman/fxtjq595jyzvbd3p
Harry Wilson,BOU,M,4,https://www.fantrax.com/player/03rxs/mw6f2ppvjyzvbd3c/harry-wilson/fxtjq595jyzvbd3p
Jordan Ibe,BOU,M,4,https://www.fantrax.com/player/02t15/mw6f2ppvjyzvbd3c/jordon-ibe/fxtjq595jyzvbd3p
David Brooks,BOU,M,4,https://www.fantrax.com/player/04rh9/mw6f2ppvjyzvbd3c/david-brooks/fxtjq595jyzvbd3p
Ryan Fraser,BOU,M,4,https://www.fantrax.com/player/03r8r/mw6f2ppvjyzvbd3c/ryan-fraser/fbuwvgeokry05u1g
Junior Stanislas,BOU,M,4,https://www.fantrax.com/player/02rn4/mw6f2ppvjyzvbd3c/junior-stanislas/fxtjq595jyzvbd3p
Arnaut Danjuma Groeneveld,BOU,"M,F",5,https://www.fantrax.com/player/055sf/mw6f2ppvjyzvbd3c/arnaut-danjuma-groeneveld/fxtjq595jyzvbd3p
Joshua King,BOU,"M,F",5,https://www.fantrax.com/player/02lnf/mw6f2ppvjyzvbd3c/joshua-king/fxtjq595jyzvbd3p
Callum Wilson,BOU,F,6,https://www.fantrax.com/player/03r8x/mw6f2ppvjyzvbd3c/callum-wilson/fxtjq595jyzvbd3p
Dominic Solanke,BOU,F,6,https://www.fantrax.com/player/03fgo/mw6f2ppvjyzvbd3c/dominic-solanke/fxtjq595jyzvbd3p
Sam Surridge,BOU,F,6,https://www.fantrax.com/player/03wpc/mw6f2ppvjyzvbd3c/sam-surridge/fxtjq595jyzvbd3p
