Player,Team,Position,Position ID,Link
Nick Pope,BUR,G,1,https://www.fantrax.com/player/044ei/mw6f2ppvjyzvbd3c/nick-pope/fbuwvgeokry05u1g
Matthew Lowton,BUR,D,2,https://www.fantrax.com/player/02on3/mw6f2ppvjyzvbd3c/matthew-lowton/fbuwvgeokry05u1g
Phil Bardsley,BUR,D,2,https://www.fantrax.com/player/02m5c/mw6f2ppvjyzvbd3c/phil-bardsley/fxtjq595jyzvbd3p
James Tarkowski,BUR,D,2,https://www.fantrax.com/player/0427d/mw6f2ppvjyzvbd3c/james-tarkowski/fbuwvgeokry05u1g
Ben Mee,BUR,D,2,https://www.fantrax.com/player/03dx7/mw6f2ppvjyzvbd3c/ben-mee/fbuwvgeokry05u1g
Kevin Long,BUR,D,2,https://www.fantrax.com/player/03dxa/mw6f2ppvjyzvbd3c/kevin-long/fxtjq595jyzvbd3p
Charlie Taylor,BUR,D,2,https://www.fantrax.com/player/04fyc/mw6f2ppvjyzvbd3c/charlie-taylor/fxtjq595jyzvbd3p
Erik Pieters,BUR,D,2,https://www.fantrax.com/player/032ab/mw6f2ppvjyzvbd3c/erik-pieters/fbuwvgeokry05u1g
Johann Gudmundsson,BUR,M,4,https://www.fantrax.com/player/044ej/mw6f2ppvjyzvbd3c/johann-gudmundsson/fbuwvgeokry05u1g
Aaron Lennon,BUR,M,4,https://www.fantrax.com/player/02loq/mw6f2ppvjyzvbd3c/aaron-lennon/fbuwvgeokry05u1g
Jeff Hendrick,BUR,M,4,https://www.fantrax.com/player/047l2/mw6f2ppvjyzvbd3c/jeff-hendrick/fbuwvgeokry05u1g
Ashley Westwood,BUR,M,4,https://www.fantrax.com/player/02w6w/mw6f2ppvjyzvbd3c/ashley-westwood/fbuwvgeokry05u1g
Jack Cork,BUR,M,4,https://www.fantrax.com/player/02opl/mw6f2ppvjyzvbd3c/jack-cork/fbuwvgeokry05u1g
Josh Brownhill,BUR,M,4,https://www.fantrax.com/player/05gcx/mw6f2ppvjyzvbd3c/josh-brownhill/fxtjq595jyzvbd3p
Dwight McNeil,BUR,M,4,https://www.fantrax.com/player/04p0d/mw6f2ppvjyzvbd3c/dwight-mcneil/fbuwvgeokry05u1g
Robbie Brady,BUR,M,4,https://www.fantrax.com/player/0328o/mw6f2ppvjyzvbd3c/robbie-brady/fxtjq595jyzvbd3p
Chris Wood,BUR,F,6,https://www.fantrax.com/player/02m5b/mw6f2ppvjyzvbd3c/chris-wood/fxtjq595jyzvbd3p
Ashley Barnes,BUR,F,6,https://www.fantrax.com/player/03dxr/mw6f2ppvjyzvbd3c/ashley-barnes/fbuwvgeokry05u1g
Jay Rodriguez,BUR,F,6,https://www.fantrax.com/player/02oq3/mw6f2ppvjyzvbd3c/jay-rodriguez/fbuwvgeokry05u1g
Matej Vydra,BUR,F,6,https://www.fantrax.com/player/03632/mw6f2ppvjyzvbd3c/matej-vydra/fxtjq595jyzvbd3p
Max Thompson,BUR,F,6,https://www.fantrax.com/player/05l30/mw6f2ppvjyzvbd3c/max-thompson/fxtjq595jyzvbd3p
