Player,Team,Position,Position ID,Link
Dean Henderson,SHU,G,1,https://www.fantrax.com/player/03yww/mw6f2ppvjyzvbd3c/dean-henderson/fxtjq595jyzvbd3p
Simon Moore,SHU,G,1,https://www.fantrax.com/player/033l8/mw6f2ppvjyzvbd3c/simon-moore/fxtjq595jyzvbd3p
Kieron Freeman,SHU,D,2,https://www.fantrax.com/player/051l2/mw6f2ppvjyzvbd3c/kieron-freeman/fxtjq595jyzvbd3p
Chris Basham,SHU,D,2,https://www.fantrax.com/player/02rlq/mw6f2ppvjyzvbd3c/chris-basham/fxtjq595jyzvbd3p
John Egan,SHU,D,2,https://www.fantrax.com/player/02m5l/mw6f2ppvjyzvbd3c/john-egan/fxtjq595jyzvbd3p
Jack OConnell,SHU,D,2,https://www.fantrax.com/player/051l0/mw6f2ppvjyzvbd3c/jack-oconnell/fxtjq595jyzvbd3p
Phil Jagielka,SHU,D,2,https://www.fantrax.com/player/02lpz/mw6f2ppvjyzvbd3c/phil-jagielka/fxtjq595jyzvbd3p
Jack Robinson,SHU,D,2,https://www.fantrax.com/player/02lkj/mw6f2ppvjyzvbd3c/jack-robinson/fxtjq595jyzvbd3p
George Baldock,SHU,"D,M",3,https://www.fantrax.com/player/051kz/mw6f2ppvjyzvbd3c/george-baldock/fxtjq595jyzvbd3p
John Lundstram,SHU,"D,M",3,https://www.fantrax.com/player/0327p/mw6f2ppvjyzvbd3c/john-lundstram/fxtjq595jyzvbd3p
Enda Stevens,SHU,"D,M",3,https://www.fantrax.com/player/02lmo/mw6f2ppvjyzvbd3c/enda-stevens/fxtjq595jyzvbd3p
Muhamed Besic,SHU,M,4,https://www.fantrax.com/player/03gou/mw6f2ppvjyzvbd3c/muhamed-besic/fxtjq595jyzvbd3p
Luke Freeman,SHU,M,4,https://www.fantrax.com/player/02lyo/mw6f2ppvjyzvbd3c/luke-freeman/fxtjq595jyzvbd3p
Sander Berge,SHU,M,4,https://www.fantrax.com/player/05gcs/mw6f2ppvjyzvbd3c/sander-berge/fxtjq595jyzvbd3p
Oliver Norwood,SHU,M,4,https://www.fantrax.com/player/02lnn/mw6f2ppvjyzvbd3c/oliver-norwood/fxtjq595jyzvbd3p
Jack Rodwell,SHU,M,4,https://www.fantrax.com/player/02lq9/mw6f2ppvjyzvbd3c/jack-rodwell/fxtjq595jyzvbd3p
John Fleck,SHU,M,4,https://www.fantrax.com/player/051l5/mw6f2ppvjyzvbd3c/john-fleck/fxtjq595jyzvbd3p
Ben Osborn,SHU,M,4,https://www.fantrax.com/player/055c0/mw6f2ppvjyzvbd3c/ben-osborn/fxtjq595jyzvbd3p
Ravel Morrison,SHU,M,4,https://www.fantrax.com/player/02lnl/mw6f2ppvjyzvbd3c/ravel-morrison/fxtjq595jyzvbd3p
David McGoldrick,SHU,F,6,https://www.fantrax.com/player/051la/mw6f2ppvjyzvbd3c/david-mcgoldrick/fxtjq595jyzvbd3p
Oliver McBurnie,SHU,F,6,https://www.fantrax.com/player/0477b/mw6f2ppvjyzvbd3c/oliver-mcburnie/fxtjq595jyzvbd3p
Billy Sharp,SHU,F,6,https://www.fantrax.com/player/02t1p/mw6f2ppvjyzvbd3c/billy-sharp/fxtjq595jyzvbd3p
Callum Robinson,SHU,F,6,https://www.fantrax.com/player/038zf/mw6f2ppvjyzvbd3c/callum-robinson/h35izsvhkesfs16m
Lys Mousset,SHU,F,6,https://www.fantrax.com/player/0436h/mw6f2ppvjyzvbd3c/lys-mousset/fxtjq595jyzvbd3p
Richairo Zivkovic,SHU,F,6,https://www.fantrax.com/player/05gd0/mw6f2ppvjyzvbd3c/richairo-zivkovic/fxtjq595jyzvbd3p
Leon Clarke,SHU,F,6,https://www.fantrax.com/player/02lx5/mw6f2ppvjyzvbd3c/leon-clarke/fxtjq595jyzvbd3p
