Player,Team,Position,Position ID,Link
Angus Gunn,SOU,G,1,https://www.fantrax.com/player/044i7/mw6f2ppvjyzvbd3c/angus-gunn/fxtjq595jyzvbd3p
Alex McCarthy,SOU,G,1,https://www.fantrax.com/player/02t20/mw6f2ppvjyzvbd3c/alex-mccarthy/fxtjq595jyzvbd3p
Kyle Walker-Peters,SOU,D,2,https://www.fantrax.com/player/03zsq/mw6f2ppvjyzvbd3c/kyle-walker-peters/fxtjq595jyzvbd3p
Maya Yoshida,SOU,D,2,https://www.fantrax.com/player/02w5x/mw6f2ppvjyzvbd3c/maya-yoshida/fxtjq595jyzvbd3p
Jan Bednarek,SOU,D,2,https://www.fantrax.com/player/04fk9/mw6f2ppvjyzvbd3c/jan-bednarek/fxtjq595jyzvbd3p
Jack Stephens,SOU,D,2,https://www.fantrax.com/player/02oq7/mw6f2ppvjyzvbd3c/jack-stephens/fxtjq595jyzvbd3p
Jannik Vestergaard,SOU,D,2,https://www.fantrax.com/player/04s60/mw6f2ppvjyzvbd3c/jannik-vestergaard/fxtjq595jyzvbd3p
Kevin Danso,SOU,D,2,https://www.fantrax.com/player/057cr/mw6f2ppvjyzvbd3c/kevin-danso/fxtjq595jyzvbd3p
Jake Vokins,SOU,D,2,https://www.fantrax.com/player/0554l/mw6f2ppvjyzvbd3c/jake-vokins/fxtjq595jyzvbd3p
Yan Valery,SOU,"D,M",3,https://www.fantrax.com/player/0452p/mw6f2ppvjyzvbd3c/yan-valery/fxtjq595jyzvbd3p
Ryan Bertrand,SOU,"D,M",3,https://www.fantrax.com/player/02m79/mw6f2ppvjyzvbd3c/ryan-bertrand/fxtjq595jyzvbd3p
Pierre-Emile Hojbjerg,SOU,M,4,https://www.fantrax.com/player/043qz/mw6f2ppvjyzvbd3c/pierre-emile-hojbjerg/fxtjq595jyzvbd3p
Oriol Romeu,SOU,M,4,https://www.fantrax.com/player/02m87/mw6f2ppvjyzvbd3c/oriol-romeu/fxtjq595jyzvbd3p
James Ward-Prowse,SOU,M,4,https://www.fantrax.com/player/02oq8/mw6f2ppvjyzvbd3c/james-ward-prowse/fxtjq595jyzvbd3p
Nathan Tella,SOU,M,4,https://www.fantrax.com/player/05l0f/mw6f2ppvjyzvbd3c/nathan-tella/fxtjq595jyzvbd3p
Moussa Djenepo,SOU,M,4,https://www.fantrax.com/player/0522r/mw6f2ppvjyzvbd3c/moussa-djenepo/fxtjq595jyzvbd3p
Sofiane Boufal,SOU,M,4,https://www.fantrax.com/player/047j1/mw6f2ppvjyzvbd3c/sofiane-boufal/fxtjq595jyzvbd3p
William Smallbone,SOU,"M,F",5,https://www.fantrax.com/player/0554t/mw6f2ppvjyzvbd3c/william-smallbone/fxtjq595jyzvbd3p
Stuart Armstrong,SOU,"M,F",5,https://www.fantrax.com/player/04rd1/mw6f2ppvjyzvbd3c/stuart-armstrong/fxtjq595jyzvbd3p
Nathan Redmond,SOU,"M,F",5,https://www.fantrax.com/player/02rll/mw6f2ppvjyzvbd3c/nathan-redmond/fxtjq595jyzvbd3p
Danny Ings,SOU,F,6,https://www.fantrax.com/player/03dxq/mw6f2ppvjyzvbd3c/danny-ings/fxtjq595jyzvbd3p
Che Adams,SOU,F,6,https://www.fantrax.com/player/0522s/mw6f2ppvjyzvbd3c/che-adams/fxtjq595jyzvbd3p
Michael Obafemi,SOU,F,6,https://www.fantrax.com/player/04mmx/mw6f2ppvjyzvbd3c/michael-obafemi/fxtjq595jyzvbd3p
Shane Long,SOU,F,6,https://www.fantrax.com/player/02los/mw6f2ppvjyzvbd3c/shane-long/fxtjq595jyzvbd3p
