Player,Team,Position,Position ID,Link
Rui Patricio,WOL,G,1,https://www.fantrax.com/player/04rzm/mw6f2ppvjyzvbd3c/rui-pedro-dos-santos-patricio/fxtjq595jyzvbd3p
Conor Coady,WOL,D,2,https://www.fantrax.com/player/02ljr/mw6f2ppvjyzvbd3c/conor-coady/fxtjq595jyzvbd3p
Maximilian Kilman,WOL,D,2,https://www.fantrax.com/player/04yey/mw6f2ppvjyzvbd3c/maximilian-kilman/fxtjq595jyzvbd3p
Willy Boly,WOL,D,2,https://www.fantrax.com/player/04qr0/mw6f2ppvjyzvbd3c/willy-boly/fxtjq595jyzvbd3p
Jesus Vallejo,WOL,D,2,https://www.fantrax.com/player/055c4/mw6f2ppvjyzvbd3c/jesus-vallejo/fxtjq595jyzvbd3p
Matt Doherty,WOL,"D,M",3,https://www.fantrax.com/player/02m11/mw6f2ppvjyzvbd3c/matt-doherty/fxtjq595jyzvbd3p
Romain Saiss,WOL,"D,M",3,https://www.fantrax.com/player/04qra/mw6f2ppvjyzvbd3c/romain-saiss/fxtjq595jyzvbd3p
Leander Dendoncker,WOL,"D,M",3,https://www.fantrax.com/player/04u6i/mw6f2ppvjyzvbd3c/leander-dendoncker/fxtjq595jyzvbd3p
Jonny,WOL,"D,M",3,https://www.fantrax.com/player/04tcc/mw6f2ppvjyzvbd3c/jonathan-castro-otto/fxtjq595jyzvbd3p
Ruben Vinagre,WOL,"D,M",3,https://www.fantrax.com/player/04qr3/mw6f2ppvjyzvbd3c/ruben-goncalo-silva-nascimento-vinagre/fxtjq595jyzvbd3p
Ruben Neves,WOL,M,4,https://www.fantrax.com/player/04qr6/mw6f2ppvjyzvbd3c/ruben-diogo-da-silva-neves/fxtjq595jyzvbd3p
Joao Moutinho,WOL,M,4,https://www.fantrax.com/player/04t3s/mw6f2ppvjyzvbd3c/joao-filipe-iria-santos-moutinho/fxtjq595jyzvbd3p
Morgan Gibbs-White,WOL,M,4,https://www.fantrax.com/player/04qr9/mw6f2ppvjyzvbd3c/morgan-gibbs-white/fxtjq595jyzvbd3p
Bruno Jordao,WOL,M,4,https://www.fantrax.com/player/056ix/mw6f2ppvjyzvbd3c/bruno-andre-cavaco-jordao/fxtjq595jyzvbd3p
Daniel Podence,WOL,M,4,https://www.fantrax.com/player/05gcq/mw6f2ppvjyzvbd3c/daniel-castelo-podence/fxtjq595jyzvbd3p
Adama Traore,WOL,"M,F",5,https://www.fantrax.com/player/03u2b/mw6f2ppvjyzvbd3c/adama-traore/fxtjq595jyzvbd3p
Diogo Jota,WOL,"M,F",5,https://www.fantrax.com/player/04qr8/mw6f2ppvjyzvbd3c/diogo-jose-teixeira-da-silva/fxtjq595jyzvbd3p
Raul Jimenez,WOL,F,6,https://www.fantrax.com/player/04qrc/mw6f2ppvjyzvbd3c/raul-jimenez/fxtjq595jyzvbd3p
Patrick Cutrone,WOL,F,6,https://www.fantrax.com/player/055om/mw6f2ppvjyzvbd3c/patrick-cutrone/fxtjq595jyzvbd3p
Pedro Neto,WOL,F,6,https://www.fantrax.com/player/056iy/mw6f2ppvjyzvbd3c/pedro-lomba-neto/fxtjq595jyzvbd3p
