Player,Team,Position,Position ID,Link
Bernd Leno,ARS,G,1,https://www.fantrax.com/player/04qor/xj5bmf9wkesfs16i/bernd-leno/h35izsvhkesfs16m
Runar Alex Runarsson,ARS,G,1,https://www.fantrax.com/player/05oif/xj5bmf9wkesfs16i/runar-alex-runarsson/h35izsvhkesfs16m
Mat Ryan,ARS,G,1,https://www.fantrax.com/player/04fjy/xj5bmf9wkesfs16i/mat-ryan/fxtjq595jyzvbd3p
Hector Bellerin,ARS,D,2,https://www.fantrax.com/player/0326y/xj5bmf9wkesfs16i/hector-bellerin/fxtjq595jyzvbd3p
Cedric Soares,ARS,D,2,https://www.fantrax.com/player/03r9c/xj5bmf9wkesfs16i/cedric-ricardo-alves-soares/fxtjq595jyzvbd3p
Calum Chambers,ARS,D,2,https://www.fantrax.com/player/02t1j/xj5bmf9wkesfs16i/calum-chambers/fxtjq595jyzvbd3p
Pablo Mari,ARS,D,2,https://www.fantrax.com/player/05gco/xj5bmf9wkesfs16i/pablo-mari/fxtjq595jyzvbd3p
Rob Holding,ARS,D,2,https://www.fantrax.com/player/05gco/xj5bmf9wkesfs16i/rob-holding/fxtjq595jyzvbd3p
Gabriel Magalhaes,ARS,D,2,https://www.fantrax.com/player/05nzu/xj5bmf9wkesfs16i/gabriel-dos-santos-magalhaes/fbuwvgeokry05u1g
David Luiz,ARS,D,2,https://www.fantrax.com/player/02m7w/xj5bmf9wkesfs16i/david-luiz-moreira-marinho/fxtjq595jyzvbd3p
Shkodran Mustafi,ARS,D,2,https://www.fantrax.com/player/02lq4/xj5bmf9wkesfs16i/shkodran-mustafi/fxtjq595jyzvbd3p
Kieran Tierney,ARS,D,2,https://www.fantrax.com/player/05749/xj5bmf9wkesfs16i/kieran-tierney/h35izsvhkesfs16m
Sead Kolasinac,ARS,D,2,https://www.fantrax.com/player/04fjx/xj5bmf9wkesfs16i/sead-kolasinac/fxtjq595jyzvbd3p
Bukayo Saka,ARS,"D,M",3,https://www.fantrax.com/player/04y92/xj5bmf9wkesfs16i/bukayo-saka/fxtjq595jyzvbd3p
Mohamed Elneny,ARS,M,4,https://www.fantrax.com/player/03yrr/xj5bmf9wkesfs16i/mohamed-naser-el-sayed-elneny/fbuwvgeokry05u1g
Granit Xhaka,ARS,M,4,https://www.fantrax.com/player/0435m/xj5bmf9wkesfs16i/granit-xhaka/fxtjq595jyzvbd3p
Thomas Partey,ARS,M,4,https://www.fantrax.com/player/05os9/xj5bmf9wkesfs16i/thomas-partey/h35izsvhkesfs16m
Martin Odegaard,ARS,M,4,https://www.fantrax.com/player/05r9b/xj5bmf9wkesfs16i/martin-odegaard/h35izsvhkesfs16m
Emile Smith Rowe,ARS,M,4,https://www.fantrax.com/player/04sat/xj5bmf9wkesfs16i/emile-smith-rowe/fbuwvgeokry05u1g
Dani Ceballos,ARS,M,4,https://www.fantrax.com/player/0558o/xj5bmf9wkesfs16i/dani-ceballos/fxtjq595jyzvbd3p
Gabriel Martinelli,ARS,"M,F",5,https://www.fantrax.com/player/052h5/xj5bmf9wkesfs16i/gabriel-teodoro-martinelli-silva/fxtjq595jyzvbd3p
Nicolas Pepe,ARS,"M,F",5,https://www.fantrax.com/player/055sk/xj5bmf9wkesfs16i/nicolas-pepe/fxtjq595jyzvbd3p
Willian,ARS,"M,F",5,https://www.fantrax.com/player/037mo/xj5bmf9wkesfs16i/willian-borges-da-silva/fxtjq595jyzvbd3p
Pierre-Emerick Aubameyang,ARS,"M,F",5,https://www.fantrax.com/player/04mqy/xj5bmf9wkesfs16i/pierre-emerick-aubameyang/fxtjq595jyzvbd3p
Reiss Nelson,ARS,F,6,https://www.fantrax.com/player/04ge8/xj5bmf9wkesfs16i/reiss-nelson/fxtjq595jyzvbd3p
Alexandre Lacazette,ARS,F,6,https://www.fantrax.com/player/04fw3/xj5bmf9wkesfs16i/alexandre-lacazette/fxtjq595jyzvbd3p
Eddie Nketiah,ARS,F,6,https://www.fantrax.com/player/04ge9/xj5bmf9wkesfs16i/eddie-nketiah/fxtjq595jyzvbd3p
