Player,Team,Position,Position ID,Link
Robert Sanchez,BHA,G,1,https://www.fantrax.com/player/04yme/xj5bmf9wkesfs16i/robert-sanchez/fbuwvgeokry05u1g
Ben White,BHA,D,2,https://www.fantrax.com/player/04e1e/xj5bmf9wkesfs16i/ben-white/fbuwvgeokry05u1g
Adam Webster,BHA,D,2,https://www.fantrax.com/player/056ir/xj5bmf9wkesfs16i/adam-webster/fxtjq595jyzvbd3p
Lewis Dunk,BHA,D,2,https://www.fantrax.com/player/04e1c/xj5bmf9wkesfs16i/lewis-dunk/fxtjq595jyzvbd3p
Dan Burn,BHA,D,2,https://www.fantrax.com/player/02lsa/xj5bmf9wkesfs16i/dan-burn/fxtjq595jyzvbd3p
Bernardo,BHA,D,2,https://www.fantrax.com/player/04ru2/xj5bmf9wkesfs16i/bernardo-fernandes-da-silva-junior/fxtjq595jyzvbd3p
Tariq Lamptey,BHA,"D,M",3,https://www.fantrax.com/player/05a6d/xj5bmf9wkesfs16i/tariq-lamptey/fxtjq595jyzvbd3p
Joel Veltman,BHA,"D,M",3,https://www.fantrax.com/player/05mxa/xj5bmf9wkesfs16i/joel-veltman/h35izsvhkesfs16m
Solly March,BHA,M,4,https://www.fantrax.com/player/04e1k/xj5bmf9wkesfs16i/solly-march/fxtjq595jyzvbd3p
Davy Propper,BHA,M,4,https://www.fantrax.com/player/04idk/xj5bmf9wkesfs16i/davy-propper/fxtjq595jyzvbd3p
Yves Bissouma,BHA,M,4,https://www.fantrax.com/player/04sft/xj5bmf9wkesfs16i/yves-bissouma/fxtjq595jyzvbd3p
Steven Alzate,BHA,M,4,https://www.fantrax.com/player/058vf/xj5bmf9wkesfs16i/steven-alzate/fxtjq595jyzvbd3p
Jakub Moder,BHA,M,4,https://www.fantrax.com/player/05r37/xj5bmf9wkesfs16i/jakub-moder/fbuwvgeokry05u1g
Reda Khadra,BHA,M,4,https://www.fantrax.com/player/05r4o/xj5bmf9wkesfs16i/reda-khadra/h35izsvhkesfs16m
Adam Lallana,BHA,M,4,https://www.fantrax.com/player/02opy/xj5bmf9wkesfs16i/adam-lallana/fbuwvgeokry05u1g
Pascal Gross,BHA,M,4,https://www.fantrax.com/player/04fk1/xj5bmf9wkesfs16i/pascal-gross/fxtjq595jyzvbd3p
Jayson Molumby,BHA,M,4,https://www.fantrax.com/player/04k4i/xj5bmf9wkesfs16i/jayson-molumby/fxtjq595jyzvbd3p
Alexis Mac Allister,BHA,M,4,https://www.fantrax.com/player/0522h/xj5bmf9wkesfs16i/alexis-mac-allister/fbuwvgeokry05u1g
Leandro Trossard,BHA,"M,F",5,https://www.fantrax.com/player/0520r/xj5bmf9wkesfs16i/leandro-trossard/fxtjq595jyzvbd3p
Neal Maupay,BHA,F,6,https://www.fantrax.com/player/056mf/xj5bmf9wkesfs16i/neal-maupay/fxtjq595jyzvbd3p
Aaron Connolly,BHA,F,6,https://www.fantrax.com/player/04k4j/xj5bmf9wkesfs16i/aaron-connolly/fxtjq595jyzvbd3p
Alireza Jahanbakhsh,BHA,F,6,https://www.fantrax.com/player/04t92/xj5bmf9wkesfs16i/alireza-jahanbakhsh/fxtjq595jyzvbd3p
Danny Welbeck,BHA,F,6,https://www.fantrax.com/player/02lnx/xj5bmf9wkesfs16i/danny-welbeck/fxtjq595jyzvbd3p
Percy Tau,BHA,F,6,https://www.fantrax.com/player/04spm/xj5bmf9wkesfs16i/percy-tau/h35izsvhkesfs16m
Andi Zeqiri,BHA,F,6,https://www.fantrax.com/player/05opi/xj5bmf9wkesfs16i/andi-zeqiri/h35izsvhkesfs16m
Jose Izquierdo,BHA,F,6,https://www.fantrax.com/player/04itp/xj5bmf9wkesfs16i/jose-izquierdo/h35izsvhkesfs16m
