Player,Team,Position,Position ID,Link
Edouard Mendy,CHE,G,1,https://www.fantrax.com/player/05oje/xj5bmf9wkesfs16i/edouard-mendy/fbuwvgeokry05u1g
Kepa Arrizabalaga,CHE,G,1,https://www.fantrax.com/player/04u40/xj5bmf9wkesfs16i/kepa-arrizabalaga/fxtjq595jyzvbd3p
Willy Caballero,CHE,G,1,https://www.fantrax.com/player/03et4/xj5bmf9wkesfs16i/willy-caballero/fxtjq595jyzvbd3p
Cesar Azpilicueta,CHE,D,2,https://www.fantrax.com/player/02vlk/xj5bmf9wkesfs16i/cesar-azpilicueta/fxtjq595jyzvbd3p
Antonio Rudiger,CHE,D,2,https://www.fantrax.com/player/04g1w/xj5bmf9wkesfs16i/antonio-rudiger/fxtjq595jyzvbd3p
Andreas Christensen,CHE,D,2,https://www.fantrax.com/player/030v5/xj5bmf9wkesfs16i/andreas-christensen/fxtjq595jyzvbd3p
Thiago Silva,CHE,D,2,https://www.fantrax.com/player/05nt7/xj5bmf9wkesfs16i/thiago-emiliano-da-silva/fbuwvgeokry05u1g
Kurt Zouma,CHE,D,2,https://www.fantrax.com/player/03arh/xj5bmf9wkesfs16i/kurt-zouma/fxtjq595jyzvbd3p
Fikayo Tomori,CHE,D,2,https://www.fantrax.com/player/0410i/xj5bmf9wkesfs16i/fikayo-tomori/fxtjq595jyzvbd3p
Emerson,CHE,D,2,https://www.fantrax.com/player/04mqv/xj5bmf9wkesfs16i/emerson-palmieri-dos-santos/fxtjq595jyzvbd3p
Reece James,CHE,"D,M",3,https://www.fantrax.com/player/051k7/xj5bmf9wkesfs16i/reece-james/fxtjq595jyzvbd3p
Ben Chilwell,CHE,"D,M",3,https://www.fantrax.com/player/03v6t/xj5bmf9wkesfs16i/ben-chilwell/fxtjq595jyzvbd3p
Marcos Alonso,CHE,"D,M",3,https://www.fantrax.com/player/02m66/xj5bmf9wkesfs16i/marcos-alonso/fxtjq595jyzvbd3p
Jorginho,CHE,M,4,https://www.fantrax.com/player/04s8k/xj5bmf9wkesfs16i/jorge-luiz-frello-filho/fxtjq595jyzvbd3p
Mateo Kovacic,CHE,M,4,https://www.fantrax.com/player/04u41/xj5bmf9wkesfs16i/mateo-kovacic/fxtjq595jyzvbd3p
Ngolo Kante,CHE,M,4,https://www.fantrax.com/player/03srm/xj5bmf9wkesfs16i/ngolo-kante/fxtjq595jyzvbd3p
Billy Gilmour,CHE,M,4,https://www.fantrax.com/player/052cc/xj5bmf9wkesfs16i/billy-gilmour/fxtjq595jyzvbd3p
Mason Mount,CHE,"M,F",5,https://www.fantrax.com/player/052cd/xj5bmf9wkesfs16i/mason-mount/fxtjq595jyzvbd3p
Christian Pulisic,CHE,"M,F",5,https://www.fantrax.com/player/04yim/xj5bmf9wkesfs16i/christian-pulisic/fxtjq595jyzvbd3p
Kai Havertz,CHE,"M,F",5,https://www.fantrax.com/player/05o6h/xj5bmf9wkesfs16i/kai-havertz/fbuwvgeokry05u1g
Hakim Ziyech,CHE,"M,F",5,https://www.fantrax.com/player/05mxb/xj5bmf9wkesfs16i/hakim-ziyech/fbuwvgeokry05u1g
Callum Hudson-Odoi,CHE,F,6,https://www.fantrax.com/player/04mi4/xj5bmf9wkesfs16i/callum-hudson-odoi/fxtjq595jyzvbd3p
Tammy Abraham,CHE,F,6,https://www.fantrax.com/player/0410j/xj5bmf9wkesfs16i/tammy-abraham/fxtjq595jyzvbd3p
Olivier Giroud,CHE,F,6,https://www.fantrax.com/player/02ope/xj5bmf9wkesfs16i/olivier-giroud/fxtjq595jyzvbd3p
Timo Werner,CHE,F,6,https://www.fantrax.com/player/05mxc/xj5bmf9wkesfs16i/timo-werner/fbuwvgeokry05u1g
