Player,Team,Position,Position ID,Link
Illan Meslier,LEE,G,1,https://www.fantrax.com/player/05mzt/xj5bmf9wkesfs16i/illan-meslier/fbuwvgeokry05u1g
Kiko Casilla,LEE,G,1,https://www.fantrax.com/player/05mzu/xj5bmf9wkesfs16i/francisco-casilla-cortes/h35izsvhkesfs16m
Luke Ayling,LEE,D,2,https://www.fantrax.com/player/05mzw/xj5bmf9wkesfs16i/luke-ayling/fbuwvgeokry05u1g
Gaetano Berardi,LEE,D,2,https://www.fantrax.com/player/05mzy/xj5bmf9wkesfs16i/gaetano-berardi/h35izsvhkesfs16m
Robin Koch,LEE,D,2,https://www.fantrax.com/player/05nuh/xj5bmf9wkesfs16i/robin-koch/fbuwvgeokry05u1g
Diego Llorente,LEE,D,2,https://www.fantrax.com/player/05ojh/xj5bmf9wkesfs16i/diego-llorente/fbuwvgeokry05u1g
Liam Cooper,LEE,D,2,https://www.fantrax.com/player/05mzx/xj5bmf9wkesfs16i/liam-cooper/fbuwvgeokry05u1g
Pascal Struijk,LEE,D,2,https://www.fantrax.com/player/05mzz/xj5bmf9wkesfs16i/pascal-struijk/fbuwvgeokry05u1g
Leif Davis,LEE,D,2,https://www.fantrax.com/player/05nil/xj5bmf9wkesfs16i/leif-davis/h35izsvhkesfs16m
Ezgjan Alioski,LEE,"D,M",3,https://www.fantrax.com/player/05n01/xj5bmf9wkesfs16i/ezgjan-alioski/h35izsvhkesfs16m
Stuart Dallas,LEE,"D,M",3,https://www.fantrax.com/player/05n02/xj5bmf9wkesfs16i/stuart-dallas/fbuwvgeokry05u1g
Kalvin Phillips,LEE,M,4,https://www.fantrax.com/player/05n03/xj5bmf9wkesfs16i/kalvin-phillips/fbuwvgeokry05u1g
Mateusz Klich,LEE,M,4,https://www.fantrax.com/player/05n04/xj5bmf9wkesfs16i/mateusz-klich/fbuwvgeokry05u1g
Jamie Shackleton,LEE,M,4,https://www.fantrax.com/player/05n05/xj5bmf9wkesfs16i/jamie-shackleton/fbuwvgeokry05u1g
Jack Harrison,LEE,M,4,https://www.fantrax.com/player/04spq/xj5bmf9wkesfs16i/jack-harrison/fbuwvgeokry05u1g
Pablo Hernandez,LEE,M,4,https://www.fantrax.com/player/02w3x/xj5bmf9wkesfs16i/pablo-hernandez-dominguez/h35izsvhkesfs16m
Helder Costa,LEE,"M,F",5,https://www.fantrax.com/player/04qrf/xj5bmf9wkesfs16i/helder-wander-sousa-de-azevedo-e-costa/fbuwvgeokry05u1g
Raphinha,LEE,"M,F",5,https://www.fantrax.com/player/05os7/xj5bmf9wkesfs16i/raphael-dias-belloli/fbuwvgeokry05u1g
Tyler Roberts,LEE,"M,F",5,https://www.fantrax.com/player/03p9z/xj5bmf9wkesfs16i/tyler-roberts/fbuwvgeokry05u1g
Rodrigo,LEE,"M,F",5,https://www.fantrax.com/player/05nnx/xj5bmf9wkesfs16i/rodrigo-moreno/fbuwvgeokry05u1g
Ian Poveda-Ocampo,LEE,F,6,https://www.fantrax.com/player/04ym3/xj5bmf9wkesfs16i/ian-poveda-ocampo/h35izsvhkesfs16m
Patrick Bamford,LEE,F,6,https://www.fantrax.com/player/03ek4/xj5bmf9wkesfs16i/patrick-bamford/fbuwvgeokry05u1g
Niall Huggins,LEE,F,6,https://www.fantrax.com/player/05r2t/xj5bmf9wkesfs16i/niall-huggins/h35izsvhkesfs16m
