Player,Team,Position,Position ID,Link
Kasper Schmeichel,LEI,G,1,https://www.fantrax.com/player/03dxv/xj5bmf9wkesfs16i/kasper-schmeichel/fxtjq595jyzvbd3p
Ricardo Pereira,LEI,D,2,https://www.fantrax.com/player/04qfy/xj5bmf9wkesfs16i/ricardo-domingos-barbosa-pereira/fxtjq595jyzvbd3p
James Justin,LEI,D,2,https://www.fantrax.com/player/0521z/xj5bmf9wkesfs16i/james-justin/fxtjq595jyzvbd3p
Daniel Amartey,LEI,D,2,https://www.fantrax.com/player/03ysm/xj5bmf9wkesfs16i/daniel-amartey/fbuwvgeokry05u1g
Wesley Fofana,LEI,D,2,https://www.fantrax.com/player/05opl/xj5bmf9wkesfs16i/wesley-fofana/fbuwvgeokry05u1g
Jonny Evans,LEI,D,2,https://www.fantrax.com/player/02ln2/xj5bmf9wkesfs16i/jonny-evans/fxtjq595jyzvbd3p
Caglar Soyuncu,LEI,D,2,https://www.fantrax.com/player/04u6q/xj5bmf9wkesfs16i/caglar-soyuncu/fxtjq595jyzvbd3p
Wes Morgan,LEI,D,2,https://www.fantrax.com/player/03dy4/xj5bmf9wkesfs16i/wes-morgan/fxtjq595jyzvbd3p
Timothy Castagne,LEI,D,2,https://www.fantrax.com/player/05o4c/xj5bmf9wkesfs16i/timothy-castagne/fbuwvgeokry05u1g
Christian Fuchs,LEI,D,2,https://www.fantrax.com/player/03rle/xj5bmf9wkesfs16i/christian-fuchs/fxtjq595jyzvbd3p
Luke Thomas,LEI,D,2,https://www.fantrax.com/player/05m46/xj5bmf9wkesfs16i/luke-thomas/fxtjq595jyzvbd3p
Nampalys Mendy,LEI,M,4,https://www.fantrax.com/player/043by/xj5bmf9wkesfs16i/nampalys-mendy/fxtjq595jyzvbd3p
Wilfred Ndidi,LEI,M,4,https://www.fantrax.com/player/04aiz/xj5bmf9wkesfs16i/wilfred-ndidi/fxtjq595jyzvbd3p
Hamza Choudhury,LEI,M,4,https://www.fantrax.com/player/04lax/xj5bmf9wkesfs16i/hamza-choudhury/fxtjq595jyzvbd3p
Youri Tielemans,LEI,M,4,https://www.fantrax.com/player/04yo7/xj5bmf9wkesfs16i/youri-tielemans/fxtjq595jyzvbd3p
Sidnei Tavares,LEI,M,4,https://www.fantrax.com/player/0554h/xj5bmf9wkesfs16i/sidnei-wilson-vieira-david-tavares/h35izsvhkesfs16m
Thakgalo Leshabela,LEI,M,4,https://www.fantrax.com/player/04y93/xj5bmf9wkesfs16i/thakgalo-leshabela/h35izsvhkesfs16m
Marc Albrighton,LEI,M,4,https://www.fantrax.com/player/02lls/xj5bmf9wkesfs16i/marc-albrighton/fxtjq595jyzvbd3p
Dennis Praet,LEI,M,4,https://www.fantrax.com/player/05795/xj5bmf9wkesfs16i/dennis-praet/fxtjq595jyzvbd3p
Harvey Barnes,LEI,M,4,https://www.fantrax.com/player/04abn/xj5bmf9wkesfs16i/harvey-barnes/fxtjq595jyzvbd3p
Demarai Gray,LEI,M,4,https://www.fantrax.com/player/03yq8/xj5bmf9wkesfs16i/demarai-gray/fxtjq595jyzvbd3p
Cengiz Under,LEI,M,4,https://www.fantrax.com/player/05oid/xj5bmf9wkesfs16i/cengiz-under/h35izsvhkesfs16m
James Maddison,LEI,"M,F",5,https://www.fantrax.com/player/0414o/xj5bmf9wkesfs16i/james-maddison/fxtjq595jyzvbd3p
Ayoze Perez,LEI,"M,F",5,https://www.fantrax.com/player/03eke/xj5bmf9wkesfs16i/ayoze-perez/fxtjq595jyzvbd3p
Jamie Vardy,LEI,F,6,https://www.fantrax.com/player/03dyk/xj5bmf9wkesfs16i/jamie-vardy/fxtjq595jyzvbd3p
Kelechi Iheanacho,LEI,F,6,https://www.fantrax.com/player/03g40/xj5bmf9wkesfs16i/kelechi-iheanacho/fxtjq595jyzvbd3p
Islam Slimani,LEI,F,6,https://www.fantrax.com/player/047l8/xj5bmf9wkesfs16i/islam-slimani/fxtjq595jyzvbd3p
