Player,Team,Position,Position ID,Link
Ederson,MCI,G,1,https://www.fantrax.com/player/04fk5/xj5bmf9wkesfs16i/ederson-santana-de-moraes/fxtjq595jyzvbd3p
Zack Steffen,MCI,G,1,https://www.fantrax.com/player/05lfs/xj5bmf9wkesfs16i/zack-steffen/fbuwvgeokry05u1g
Scott Carson,MCI,G,1,https://www.fantrax.com/player/0579j/xj5bmf9wkesfs16i/scott-carson/h35izsvhkesfs16m
Kyle Walker,MCI,D,2,https://www.fantrax.com/player/02lp9/xj5bmf9wkesfs16i/kyle-walker/fxtjq595jyzvbd3p
Joao Cancelo,MCI,D,2,https://www.fantrax.com/player/0570n/xj5bmf9wkesfs16i/joao-pedro-cavaco-cancelo/fxtjq595jyzvbd3p
John Stones,MCI,D,2,https://www.fantrax.com/player/02yl5/xj5bmf9wkesfs16i/john-stones/fxtjq595jyzvbd3p
Eric Garcia,MCI,D,2,https://www.fantrax.com/player/04spn/xj5bmf9wkesfs16i/eric-garcia/fxtjq595jyzvbd3p
Ruben Dias,MCI,D,2,https://www.fantrax.com/player/05omu/xj5bmf9wkesfs16i/ruben-santos-gato-alves-dias/fbuwvgeokry05u1g
Aymeric Laporte,MCI,D,2,https://www.fantrax.com/player/04mqu/xj5bmf9wkesfs16i/aymeric-laporte/fxtjq595jyzvbd3p
Nathan Ake,MCI,D,2,https://www.fantrax.com/player/02y6o/xj5bmf9wkesfs16i/nathan-ake/fbuwvgeokry05u1g
Benjamin Mendy,MCI,D,2,https://www.fantrax.com/player/04gyl/xj5bmf9wkesfs16i/benjamin-mendy/fxtjq595jyzvbd3p
Oleksandr Zinchenko,MCI,D,2,https://www.fantrax.com/player/043c1/xj5bmf9wkesfs16i/oleksandr-zinchenko/fxtjq595jyzvbd3p
Fernandinho,MCI,"D,M",3,https://www.fantrax.com/player/03278/xj5bmf9wkesfs16i/fernando-luiz-rosa/fxtjq595jyzvbd3p
Rodri,MCI,M,4,https://www.fantrax.com/player/0524k/xj5bmf9wkesfs16i/rodrigo-hernandez-cascante/fxtjq595jyzvbd3p
Ilkay Gundogan,MCI,M,4,https://www.fantrax.com/player/0435t/xj5bmf9wkesfs16i/ilkay-gundogan/fxtjq595jyzvbd3p
Kevin De Bruyne,MCI,M,4,https://www.fantrax.com/player/02oox/xj5bmf9wkesfs16i/kevin-de-bruyne/fxtjq595jyzvbd3p
Bernardo Silva,MCI,M,4,https://www.fantrax.com/player/04fk6/xj5bmf9wkesfs16i/bernardo-mota-veiga-de-carvalho-e-silva/fxtjq595jyzvbd3p
Phil Foden,MCI,"M,F",5,https://www.fantrax.com/player/04abb/xj5bmf9wkesfs16i/phil-foden/fxtjq595jyzvbd3p
Raheem Sterling,MCI,"M,F",5,https://www.fantrax.com/player/02lkp/xj5bmf9wkesfs16i/raheem-sterling/fxtjq595jyzvbd3p
Riyad Mahrez,MCI,F,6,https://www.fantrax.com/player/03dyp/xj5bmf9wkesfs16i/riyad-mahrez/fxtjq595jyzvbd3p
Sergio Aguero,MCI,F,6,https://www.fantrax.com/player/02lun/xj5bmf9wkesfs16i/sergio-aguero/fxtjq595jyzvbd3p
Gabriel Jesus,MCI,F,6,https://www.fantrax.com/player/045c8/xj5bmf9wkesfs16i/gabriel-fernando-de-jesus/xj5bmf9wkesfs16i
Ferran Torres,MCI,F,6,https://www.fantrax.com/player/05n08/xj5bmf9wkesfs16i/ferran-torres/fbuwvgeokry05u1g
Liam Delap,MCI,F,6,https://www.fantrax.com/player/05oig/xj5bmf9wkesfs16i/liam-delap/fbuwvgeokry05u1g
