Player,Team,Position,Position ID,Link
Martin Dubravka,NEW,G,1,https://www.fantrax.com/player/04mr4/xj5bmf9wkesfs16i/martin-dubravka/fxtjq595jyzvbd3p
Karl Darlow,NEW,G,1,https://www.fantrax.com/player/03pif/xj5bmf9wkesfs16i/karl-darlow/fbuwvgeokry05u1g
Javier Manquillo,NEW,D,2,https://www.fantrax.com/player/03hvn/xj5bmf9wkesfs16i/javier-manquillo/fxtjq595jyzvbd3p
Emil Krafth,NEW,D,2,https://www.fantrax.com/player/05746/xj5bmf9wkesfs16i/emil-krafth/fxtjq595jyzvbd3p
Deandre Yedlin,NEW,D,2,https://www.fantrax.com/player/03m1q/xj5bmf9wkesfs16i/deandre-yedlin/fxtjq595jyzvbd3p
Fabian Schar,NEW,D,2,https://www.fantrax.com/player/04tig/xj5bmf9wkesfs16i/fabian-schar/fxtjq595jyzvbd3p
Jamaal Lascelles,NEW,D,2,https://www.fantrax.com/player/03pig/xj5bmf9wkesfs16i/jamaal-lascelles/fxtjq595jyzvbd3p
Ciaran Clark,NEW,D,2,https://www.fantrax.com/player/02llz/xj5bmf9wkesfs16i/ciaran-clark/fxtjq595jyzvbd3p
Federico Fernandez,NEW,D,2,https://www.fantrax.com/player/03jab/xj5bmf9wkesfs16i/federico-fernandez/fxtjq595jyzvbd3p
Paul Dummett,NEW,D,2,https://www.fantrax.com/player/032f5/xj5bmf9wkesfs16i/paul-dummett/fxtjq595jyzvbd3p
Jamal Lewis,NEW,D,2,https://www.fantrax.com/player/051kd/xj5bmf9wkesfs16i/jamal-lewis/fbuwvgeokry05u1g
Jacob Murphy,NEW,"D,M",3,https://www.fantrax.com/player/03am7/xj5bmf9wkesfs16i/jacob-murphy/fbuwvgeokry05u1g
Matt Ritchie,NEW,"D,M",3,https://www.fantrax.com/player/03r8t/xj5bmf9wkesfs16i/matt-ritchie/fxtjq595jyzvbd3p
Jeff Hendrick,NEW,M,4,https://www.fantrax.com/player/047l2/xj5bmf9wkesfs16i/jeff-hendrick/fbuwvgeokry05u1g
Isaac Hayden,NEW,M,4,https://www.fantrax.com/player/035mq/xj5bmf9wkesfs16i/isaac-hayden/fxtjq595jyzvbd3p
Jonjo Shelvey,NEW,M,4,https://www.fantrax.com/player/02lkm/xj5bmf9wkesfs16i/jonjo-shelvey/fxtjq595jyzvbd3p
Sean Longstaff,NEW,M,4,https://www.fantrax.com/player/04ug0/xj5bmf9wkesfs16i/sean-longstaff/fxtjq595jyzvbd3p
Joseph Willock,NEW,M,4,https://www.fantrax.com/player/04ge6/xj5bmf9wkesfs16i/joseph-willock/fxtjq595jyzvbd3p
Matthew Longstaff,NEW,M,4,https://www.fantrax.com/player/052ju/xj5bmf9wkesfs16i/matthew-longstaff/fxtjq595jyzvbd3p
Elliot Anderson,NEW,M,4,https://www.fantrax.com/player/05opj/xj5bmf9wkesfs16i/elliot-anderson/h35izsvhkesfs16m
Ryan Fraser,NEW,M,4,https://www.fantrax.com/player/03r8r/xj5bmf9wkesfs16i/ryan-fraser/fbuwvgeokry05u1g
Miguel Almiron,NEW,M,4,https://www.fantrax.com/player/04yo6/xj5bmf9wkesfs16i/miguel-almiron/fxtjq595jyzvbd3p
Allan Saint-Maximin,NEW,"M,F",5,https://www.fantrax.com/player/056iw/xj5bmf9wkesfs16i/allan-saint-maximin/fxtjq595jyzvbd3p
Joelinton,NEW,F,6,https://www.fantrax.com/player/0554i/xj5bmf9wkesfs16i/joelinton-cassio-apolinario-de-lira/fxtjq595jyzvbd3p
Dwight Gayle,NEW,F,6,https://www.fantrax.com/player/0329o/xj5bmf9wkesfs16i/dwight-gayle/fxtjq595jyzvbd3p
Callum Wilson,NEW,F,6,https://www.fantrax.com/player/03r8x/xj5bmf9wkesfs16i/callum-wilson/fbuwvgeokry05u1g
Andy Carroll,NEW,F,6,https://www.fantrax.com/player/02ljq/xj5bmf9wkesfs16i/andy-carroll/fxtjq595jyzvbd3p
