Player,Team,Position,Position ID,Link
Sam Johnstone,WBA,G,1,https://www.fantrax.com/player/02xtd/xj5bmf9wkesfs16i/sam-johnstone/h35izsvhkesfs16m
David Button,WBA,G,1,https://www.fantrax.com/player/02t13/xj5bmf9wkesfs16i/david-button/h35izsvhkesfs16m
Darnell Furlong,WBA,D,2,https://www.fantrax.com/player/03mga/xj5bmf9wkesfs16i/darnell-furlong/h35izsvhkesfs16m
Lee Peltier,WBA,D,2,https://www.fantrax.com/player/04qf0/xj5bmf9wkesfs16i/lee-peltier/h35izsvhkesfs16m
Ahmed Hegazi,WBA,D,2,https://www.fantrax.com/player/04gmi/xj5bmf9wkesfs16i/ahmed-el-sayed-hegazi/h35izsvhkesfs16m
Branislav Ivanovic,WBA,D,2,https://www.fantrax.com/player/02m7r/xj5bmf9wkesfs16i/branislav-ivanovic/h35izsvhkesfs16m
Semi Ajayi,WBA,D,2,https://www.fantrax.com/player/03ksl/xj5bmf9wkesfs16i/semi-ajayi/h35izsvhkesfs16m
Kyle Bartley,WBA,D,2,https://www.fantrax.com/player/02t1b/xj5bmf9wkesfs16i/kyle-bartley/h35izsvhkesfs16m
Dara OShea,WBA,D,2,https://www.fantrax.com/player/04gpx/xj5bmf9wkesfs16i/dara-oshea/h35izsvhkesfs16m
Conor Townsend,WBA,D,2,https://www.fantrax.com/player/03297/xj5bmf9wkesfs16i/conor-townsend/h35izsvhkesfs16m
Kieran Gibbs,WBA,D,2,https://www.fantrax.com/player/02lyr/xj5bmf9wkesfs16i/kieran-gibbs/h35izsvhkesfs16m
Ainsley Maitland-Niles,WBA,"D,M",3,https://www.fantrax.com/player/03m3q/xj5bmf9wkesfs16i/ainsley-maitland-niles/h35izsvhkesfs16m
Jake Livermore,WBA,M,4,https://www.fantrax.com/player/02lor/xj5bmf9wkesfs16i/jake-livermore/h35izsvhkesfs16m
Okay Yokuslu,WBA,M,4,https://www.fantrax.com/player/05rai/xj5bmf9wkesfs16i/okay-yokuslu/h35izsvhkesfs16m
Conor Gallagher,WBA,M,4,https://www.fantrax.com/player/051k8/xj5bmf9wkesfs16i/conor-gallagher/h35izsvhkesfs16m
Filip Krovinovic,WBA,M,4,https://www.fantrax.com/player/05omv/xj5bmf9wkesfs16i/filip-krovinovic/h35izsvhkesfs16m
Rakeem Harper,WBA,M,4,https://www.fantrax.com/player/04adx/xj5bmf9wkesfs16i/rakeem-harper/h35izsvhkesfs16m
Romaine Sawyers,WBA,M,4,https://www.fantrax.com/player/02m54/xj5bmf9wkesfs16i/romaine-sawyers/h35izsvhkesfs16m
Sam Field,WBA,M,4,https://www.fantrax.com/player/040xn/xj5bmf9wkesfs16i/sam-field/h35izsvhkesfs16m
Kamil Grosicki,WBA,M,4,https://www.fantrax.com/player/04aml/xj5bmf9wkesfs16i/kamil-grosicki/h35izsvhkesfs16m
Grady Diangana,WBA,M,4,https://www.fantrax.com/player/0477h/xj5bmf9wkesfs16i/grady-diangana/h35izsvhkesfs16m
Robert Snodgrass,WBA,M,4,https://www.fantrax.com/player/02t1i/xj5bmf9wkesfs16i/robert-snodgrass/fxtjq595jyzvbd3p
Matt Phillips,WBA,M,4,https://www.fantrax.com/player/02rmd/xj5bmf9wkesfs16i/matt-phillips/h35izsvhkesfs16m
Kyle Edwards,WBA,"M,F",5,https://www.fantrax.com/player/03wph/xj5bmf9wkesfs16i/kyle-edwards/h35izsvhkesfs16m
Matheus Pereira,WBA,"M,F",5,https://www.fantrax.com/player/05n0b/xj5bmf9wkesfs16i/matheus-fellipe-costa-pereira/h35izsvhkesfs16m
Hal Robson-Kanu,WBA,F,6,https://www.fantrax.com/player/02ooq/xj5bmf9wkesfs16i/hal-robson-kanu/h35izsvhkesfs16m
Karlan Grant,WBA,F,6,https://www.fantrax.com/player/04ymz/xj5bmf9wkesfs16i/karlan-grant/h35izsvhkesfs16m
Callum Robinson,WBA,F,6,https://www.fantrax.com/player/038zf/xj5bmf9wkesfs16i/callum-robinson/h35izsvhkesfs16m
Mbaye Diagne,WBA,F,6,https://www.fantrax.com/player/05ra4/xj5bmf9wkesfs16i/mbaye-diagne/h35izsvhkesfs16m
Charlie Austin,WBA,F,6,https://www.fantrax.com/player/03dz4/xj5bmf9wkesfs16i/charlie-austin/h35izsvhkesfs16m
