Player,Team,Position,Position ID,Link
Lukasz Fabianski,WHU,G,1,https://www.fantrax.com/player/02lym/xj5bmf9wkesfs16i/lukasz-fabianski/fxtjq595jyzvbd3p
Darren Randolph,WHU,G,1,https://www.fantrax.com/player/03rll/xj5bmf9wkesfs16i/darren-randolph/fxtjq595jyzvbd3p
Vladimir Coufal,WHU,D,2,https://www.fantrax.com/player/05opk/xj5bmf9wkesfs16i/vladimir-coufal/fbuwvgeokry05u1g
Ryan Fredericks,WHU,D,2,https://www.fantrax.com/player/02lof/xj5bmf9wkesfs16i/ryan-fredericks/fxtjq595jyzvbd3p
Ben Johnson,WHU,D,2,https://www.fantrax.com/player/04mcg/xj5bmf9wkesfs16i/ben-johnson/fbuwvgeokry05u1g
Fabian Balbuena,WHU,D,2,https://www.fantrax.com/player/04sau/xj5bmf9wkesfs16i/fabian-balbuena/fxtjq595jyzvbd3p
Craig Dawson,WHU,D,2,https://www.fantrax.com/player/02m4d/xj5bmf9wkesfs16i/craig-dawson/fbuwvgeokry05u1g
Angelo Ogbonna,WHU,D,2,https://www.fantrax.com/player/03rxb/xj5bmf9wkesfs16i/angelo-ogbonna/fxtjq595jyzvbd3p
Issa Diop,WHU,D,2,https://www.fantrax.com/player/04qos/xj5bmf9wkesfs16i/issa-diop/fxtjq595jyzvbd3p
Aaron Cresswell,WHU,D,2,https://www.fantrax.com/player/03ena/xj5bmf9wkesfs16i/aaron-cresswell/fxtjq595jyzvbd3p
Arthur Masuaku,WHU,D,2,https://www.fantrax.com/player/045yy/xj5bmf9wkesfs16i/arthur-masuaku/fxtjq595jyzvbd3p
Mark Noble,WHU,M,4,https://www.fantrax.com/player/02onj/xj5bmf9wkesfs16i/mark-noble/fxtjq595jyzvbd3p
Declan Rice,WHU,M,4,https://www.fantrax.com/player/04agz/xj5bmf9wkesfs16i/declan-rice/fxtjq595jyzvbd3p
Tomas Soucek,WHU,M,,https://www.fantrax.com/player/05gcp/xj5bmf9wkesfs16i/tomas-soucek/fxtjq595jyzvbd3p
Felipe Anderson,WHU,M,4,https://www.fantrax.com/player/04sav/xj5bmf9wkesfs16i/felipe-anderson-pereira-gomes/fxtjq595jyzvbd3p
Manuel Lanzini,WHU,M,4,https://www.fantrax.com/player/03sd5/xj5bmf9wkesfs16i/manuel-lanzini/fxtjq595jyzvbd3p
Jesse Lingard,WHU,M,4,https://www.fantrax.com/player/02lni/xj5bmf9wkesfs16i/jesse-lingard/h35izsvhkesfs16m
Pablo Fornals,WHU,M,4,https://www.fantrax.com/player/051lc/xj5bmf9wkesfs16i/pablo-fornals/fxtjq595jyzvbd3p
Jarrod Bowen,WHU,"M,F",5,https://www.fantrax.com/player/046c5/xj5bmf9wkesfs16i/jarrod-bowen/fxtjq595jyzvbd3p
Said Benrahma,WHU,"M,F",6,https://www.fantrax.com/player/05oyq/xj5bmf9wkesfs16i/said-benrahma/fbuwvgeokry05u1g
Andriy Yarmolenko,WHU,"M,F",5,https://www.fantrax.com/player/04s1e/xj5bmf9wkesfs16i/andriy-yarmolenko/fxtjq595jyzvbd3p
Michail Antonio,WHU,"M,F",5,https://www.fantrax.com/player/03vll/xj5bmf9wkesfs16i/michail-antonio/fxtjq595jyzvbd3p
Sebastien Haller,WHU,F,6,https://www.fantrax.com/player/052ka/xj5bmf9wkesfs16i/sebastien-haller/fxtjq595jyzvbd3p
