Player,Team,Position,Position ID,Link
Jordan Pickford,EVE,G,1,https://www.fantrax.com/player/032f9/9yjz1a6kkry05u1b/jordan-pickford/fbuwvgeokry05u1g
Asmir Begovic,EVE,G,1,https://www.fantrax.com/player/02lw2/9yjz1a6kkry05u1b/asmir-begovic/fbuwvgeokry05u1g
Seamus Coleman,EVE,D,2,https://www.fantrax.com/player/02lpl/9yjz1a6kkry05u1b/seamus-coleman/fbuwvgeokry05u1g
Jonjoe Kenny,EVE,D,2,https://www.fantrax.com/player/03m5e/9yjz1a6kkry05u1b/jonjoe-kenny/fbuwvgeokry05u1g
Mason Holgate,EVE,D,2,https://www.fantrax.com/player/03v6s/9yjz1a6kkry05u1b/mason-holgate/fbuwvgeokry05u1g
Ben Godfrey,EVE,D,2,https://www.fantrax.com/player/051ki/9yjz1a6kkry05u1b/ben-godfrey/fbuwvgeokry05u1g
Yerry Mina,EVE,D,2,https://www.fantrax.com/player/04u6k/9yjz1a6kkry05u1b/yerry-mina/fbuwvgeokry05u1g
Michael Keane,EVE,D,2,https://www.fantrax.com/player/0327r/9yjz1a6kkry05u1b/michael-keane/fbuwvgeokry05u1g
Vitalii Mykolenko,EVE,D,2,https://www.fantrax.com/player/05ybq/9yjz1a6kkry05u1b/vitalii-mykolenko/fbuwvgeokry05u1g
Jarrad Branthwaite,EVE,D,2,https://www.fantrax.com/player/05l27/9yjz1a6kkry05u1b/jarrad-branthwaite/fbuwvgeokry05u1g
Fabian Delph,EVE,M,4,https://www.fantrax.com/player/02lm3/9yjz1a6kkry05u1b/fabian-delph/fbuwvgeokry05u1g
Allan,EVE,M,4,https://www.fantrax.com/player/05o6w/9yjz1a6kkry05u1b/allan-marques-loureiro/fbuwvgeokry05u1g
Jean-Philippe Gbamin,EVE,M,4,https://www.fantrax.com/player/056iu/9yjz1a6kkry05u1b/jean-philippe-gbamin/fbuwvgeokry05u1g
Abdoulaye Doucoure,EVE,M,4,https://www.fantrax.com/player/03yu2/9yjz1a6kkry05u1b/abdoulaye-doucoure/fbuwvgeokry05u1g
Tom Davies,EVE,M,4,https://www.fantrax.com/player/040ah/9yjz1a6kkry05u1b/tom-davies/fbuwvgeokry05u1g
Andre Gomes,EVE,M,4,https://www.fantrax.com/player/04u6l/9yjz1a6kkry05u1b/andre-filipe-tavares-gomes/fbuwvgeokry05u1g
Donny van de Beek,EVE,M,4,https://www.fantrax.com/player/05o2l/9yjz1a6kkry05u1b/donny-van-de-beek/fbuwvgeokry05u1g
Dele Alli,EVE,M,4,https://www.fantrax.com/player/03mml/9yjz1a6kkry05u1b/dele-alli/fbuwvgeokry05u1g
Tyler Onyango,EVE,M,4,https://www.fantrax.com/player/05r93/9yjz1a6kkry05u1b/tyler-onyango/fbuwvgeokry05u1g
Isaac Price,EVE,M,4,https://www.fantrax.com/player/05rkb/9yjz1a6kkry05u1b/isaac-price/fbuwvgeokry05u1g
Anwar El Ghazi,EVE,M,4,https://www.fantrax.com/player/0522t/9yjz1a6kkry05u1b/anwar-el-ghazi/fbuwvgeokry05u1g
Andros Townsend,EVE,M,4,https://www.fantrax.com/player/02lp7/9yjz1a6kkry05u1b/andros-townsend/fbuwvgeokry05u1g
Alex Iwobi,EVE,"M,F",5,https://www.fantrax.com/player/038ze/9yjz1a6kkry05u1b/alex-iwobi/fbuwvgeokry05u1g
Demarai Gray,EVE,"M,F",5,https://www.fantrax.com/player/03yq8/9yjz1a6kkry05u1b/demarai-gray/fbuwvgeokry05u1g
Anthony Gordon,EVE,"M,F",5,https://www.fantrax.com/player/04mdn/9yjz1a6kkry05u1b/anthony-gordon/fbuwvgeokry05u1g
Richarlison,EVE,F,6,https://www.fantrax.com/player/04io4/9yjz1a6kkry05u1b/richarlison-de-andrade/fbuwvgeokry05u1g
Moise Kean,EVE,F,6,https://www.fantrax.com/player/056iz/9yjz1a6kkry05u1b/moise-kean/fbuwvgeokry05u1g
Lewis Dobbin,EVE,F,6,https://www.fantrax.com/player/05uog/9yjz1a6kkry05u1b/lewis-dobbin/fbuwvgeokry05u1g
Salomon Rondon,EVE,F,6,https://www.fantrax.com/player/03tip/9yjz1a6kkry05u1b/salomon-rondon/fbuwvgeokry05u1g
Dominic Calvert-Lewin,EVE,F,6,https://www.fantrax.com/player/049tq/9yjz1a6kkry05u1b/dominic-calvert-lewin/fbuwvgeokry05u1g
Cenk Tosun,EVE,F,6,https://www.fantrax.com/player/04ml9/9yjz1a6kkry05u1b/cenk-tosun/fbuwvgeokry05u1g
Ellis Simms,EVE,F,6,https://www.fantrax.com/player/05m9r/9yjz1a6kkry05u1b/ellis-simms/fbuwvgeokry05u1g
