Player,Team,Position,Position ID,Link
Alisson,LIV,G,1,https://www.fantrax.com/player/04sjt/9yjz1a6kkry05u1b/alisson-ramses-becker/fbuwvgeokry05u1g
Caoimhin Kelleher,LIV,G,1,https://www.fantrax.com/player/045ob/9yjz1a6kkry05u1b/caoimhin-kelleher/fbuwvgeokry05u1g
Trent Alexander-Arnold,LIV,D,2,https://www.fantrax.com/player/03srg/9yjz1a6kkry05u1b/trent-alexander-arnold/fbuwvgeokry05u1g
Neco Williams,LIV,D,2,https://www.fantrax.com/player/05a6e/9yjz1a6kkry05u1b/neco-williams/fbuwvgeokry05u1g
Joseph Gomez,LIV,D,2,https://www.fantrax.com/player/03r93/9yjz1a6kkry05u1b/joseph-gomez/fbuwvgeokry05u1g
Joel Matip,LIV,D,2,https://www.fantrax.com/player/0435s/9yjz1a6kkry05u1b/joel-matip/fbuwvgeokry05u1g
Ibrahima Konate,LIV,D,2,https://www.fantrax.com/player/05u7f/9yjz1a6kkry05u1b/ibrahima-konate/fbuwvgeokry05u1g
Virgil van Dijk,LIV,D,2,https://www.fantrax.com/player/03vlj/9yjz1a6kkry05u1b/virgil-van-dijk/fbuwvgeokry05u1g
Andrew Robertson,LIV,D,2,https://www.fantrax.com/player/03gu5/9yjz1a6kkry05u1b/andrew-robertson/fbuwvgeokry05u1g
Konstantinos Tsimikas,LIV,D,2,https://www.fantrax.com/player/05n3v/9yjz1a6kkry05u1b/konstantinos-tsimikas/fbuwvgeokry05u1g
Fabinho,LIV,"D,M",3,https://www.fantrax.com/player/04rhd/9yjz1a6kkry05u1b/fabio-henrique-tavares/fbuwvgeokry05u1g
Jordan Henderson,LIV,M,4,https://www.fantrax.com/player/02lk5/9yjz1a6kkry05u1b/jordan-henderson/fbuwvgeokry05u1g
James Milner,LIV,M,4,https://www.fantrax.com/player/02lv9/9yjz1a6kkry05u1b/james-milner/fbuwvgeokry05u1g
Curtis Jones,LIV,M,4,https://www.fantrax.com/player/04o82/9yjz1a6kkry05u1b/curtis-jones/fbuwvgeokry05u1g
Naby Keita,LIV,M,4,https://www.fantrax.com/player/04rhe/9yjz1a6kkry05u1b/naby-keita/fbuwvgeokry05u1g
Thiago,LIV,M,4,https://www.fantrax.com/player/05oh2/9yjz1a6kkry05u1b/thiago-alcantara-do-nascimento/fbuwvgeokry05u1g
Alex Oxlade-Chamberlain,LIV,M,4,https://www.fantrax.com/player/02lz9/9yjz1a6kkry05u1b/alex-oxlade-chamberlain/fbuwvgeokry05u1g
Harvey Elliott,LIV,M,4,https://www.fantrax.com/player/04xjr/9yjz1a6kkry05u1b/harvey-elliott/fbuwvgeokry05u1g
Tyler Morton,LIV,M,4,https://www.fantrax.com/player/05uhk/9yjz1a6kkry05u1b/tyler-morton/fbuwvgeokry05u1g
Mohamed Salah,LIV,F,6,https://www.fantrax.com/player/03aqp/9yjz1a6kkry05u1b/mohamed-salah-ghaly/fbuwvgeokry05u1g
Diogo Jota,LIV,F,6,https://www.fantrax.com/player/04qr8/9yjz1a6kkry05u1b/diogo-jose-teixeira-da-silva/fbuwvgeokry05u1g
Roberto Firmino,LIV,F,6,https://www.fantrax.com/player/03rxz/9yjz1a6kkry05u1b/roberto-firmino-barbosa-de-oliveira/fbuwvgeokry05u1g
Sadio Mane,LIV,F,6,https://www.fantrax.com/player/03jv0/9yjz1a6kkry05u1b/sadio-mane/fbuwvgeokry05u1g
Takumi Minamino,LIV,F,6,https://www.fantrax.com/player/05g2n/9yjz1a6kkry05u1b/takumi-minamino/fbuwvgeokry05u1g
Divock Origi,LIV,F,6,https://www.fantrax.com/player/03pie/9yjz1a6kkry05u1b/divock-origi/fbuwvgeokry05u1g
Kaide Gordon,LIV,F,6,https://www.fantrax.com/player/05uhl/9yjz1a6kkry05u1b/kaide-gordon/fbuwvgeokry05u1g
Luis Diaz,LIV,F,6,https://www.fantrax.com/player/05yld/9yjz1a6kkry05u1b/luis-diaz/fbuwvgeokry05u1g
