Player,Team,Position,Position ID,Link
David de Gea,MUN,G,1,https://www.fantrax.com/player/02ln1/9yjz1a6kkry05u1b/david-de-gea/fbuwvgeokry05u1g
Aaron Wan-Bissaka,MUN,D,2,https://www.fantrax.com/player/04adp/9yjz1a6kkry05u1b/aaron-wan-bissaka/fbuwvgeokry05u1g
Diogo Dalot,MUN,D,2,https://www.fantrax.com/player/04qfz/9yjz1a6kkry05u1b/jose-diogo-dalot-teixeira/fbuwvgeokry05u1g
Raphael Varane,MUN,D,2,https://www.fantrax.com/player/05up6/9yjz1a6kkry05u1b/raphael-varane/fbuwvgeokry05u1g
Victor Lindelof,MUN,D,2,https://www.fantrax.com/player/04fk8/9yjz1a6kkry05u1b/victor-lindelof/fbuwvgeokry05u1g
Eric Bailly,MUN,D,2,https://www.fantrax.com/player/0435u/9yjz1a6kkry05u1b/eric-bailly/fbuwvgeokry05u1g
Harry Maguire,MUN,D,2,https://www.fantrax.com/player/03gu4/9yjz1a6kkry05u1b/harry-maguire/fbuwvgeokry05u1g
Phil Jones,MUN,D,2,https://www.fantrax.com/player/02lnd/9yjz1a6kkry05u1b/phil-jones/fbuwvgeokry05u1g
Luke Shaw,MUN,D,2,https://www.fantrax.com/player/02oq6/9yjz1a6kkry05u1b/luke-shaw/fbuwvgeokry05u1g
Alex Telles,MUN,D,2,https://www.fantrax.com/player/05os5/9yjz1a6kkry05u1b/alex-nicolao-telles/fbuwvgeokry05u1g
Nemanja Matic,MUN,M,4,https://www.fantrax.com/player/03aoj/9yjz1a6kkry05u1b/nemanja-matic/fbuwvgeokry05u1g
Scott McTominay,MUN,M,4,https://www.fantrax.com/player/04civ/9yjz1a6kkry05u1b/scott-mctominay/fbuwvgeokry05u1g
Fred,MUN,M,4,https://www.fantrax.com/player/04qqv/9yjz1a6kkry05u1b/frederico-rodrigues-de-paula-santos/fbuwvgeokry05u1g
Bruno Fernandes,MUN,M,4,https://www.fantrax.com/player/05gcr/9yjz1a6kkry05u1b/bruno-miguel-borges-fernandes/fbuwvgeokry05u1g
Paul Pogba,MUN,M,4,https://www.fantrax.com/player/02lnq/9yjz1a6kkry05u1b/paul-pogba/fbuwvgeokry05u1g
Hannibal Mejbri,MUN,M,4,https://www.fantrax.com/player/05t6y/9yjz1a6kkry05u1b/hannibal-mejbri/fbuwvgeokry05u1g
Juan Mata,MUN,M,4,https://www.fantrax.com/player/02m7z/9yjz1a6kkry05u1b/juan-mata/fbuwvgeokry05u1g
Jesse Lingard,MUN,M,4,https://www.fantrax.com/player/02lni/9yjz1a6kkry05u1b/jesse-lingard/fbuwvgeokry05u1g
Alejandro Garnacho,MUN,M,4,https://www.fantrax.com/player/060wh/9yjz1a6kkry05u1b/alejandro-garnacho-ferreyra/fbuwvgeokry05u1g
Jadon Sancho,MUN,"M,F",5,https://www.fantrax.com/player/04gw7/9yjz1a6kkry05u1b/jadon-sancho/fbuwvgeokry05u1g
Mason Greenwood,MUN,"M,F",5,https://www.fantrax.com/player/04spy/9yjz1a6kkry05u1b/mason-greenwood/fbuwvgeokry05u1g
Marcus Rashford,MUN,"M,F",5,https://www.fantrax.com/player/03ybi/9yjz1a6kkry05u1b/marcus-rashford/fbuwvgeokry05u1g
Anthony Elanga,MUN,F,6,https://www.fantrax.com/player/05ogb/9yjz1a6kkry05u1b/anthony-elanga/fbuwvgeokry05u1g
Cristiano Ronaldo,MUN,F,6,https://www.fantrax.com/player/05w7s/9yjz1a6kkry05u1b/cristiano-ronaldo-dos-santos-aveiro/fbuwvgeokry05u1g
Anthony Martial,MUN,F,6,https://www.fantrax.com/player/03vlm/9yjz1a6kkry05u1b/anthony-martial/fbuwvgeokry05u1g
Edinson Cavani,MUN,F,6,https://www.fantrax.com/player/05os6/9yjz1a6kkry05u1b/edinson-cavani/fbuwvgeokry05u1g
Shola Shoretire,MUN,F,6,https://www.fantrax.com/player/05rdx/9yjz1a6kkry05u1b/shola-shoretire/fbuwvgeokry05u1g
