Player,Team,Position,Position ID,Link
Ben Foster,WAT,G,1,https://www.fantrax.com/player/02m4i/9yjz1a6kkry05u1b/ben-foster/fbuwvgeokry05u1g
Daniel Bachmann,WAT,G,1,https://www.fantrax.com/player/03am9/9yjz1a6kkry05u1b/daniel-bachmann/fbuwvgeokry05u1g
Jeremy Ngakia,WAT,D,2,https://www.fantrax.com/player/05g3t/9yjz1a6kkry05u1b/jeremy-ngakia/fbuwvgeokry05u1g
Nicolas Nkoulou,WAT,D,2,https://www.fantrax.com/player/05xne/9yjz1a6kkry05u1b/nicolas-nkoulou/fbuwvgeokry05u1g
Francisco Femenia Far,WAT,D,2,https://www.fantrax.com/player/04fkc/9yjz1a6kkry05u1b/francisco-femenia-far/fbuwvgeokry05u1g
Craig Cathcart,WAT,D,2,https://www.fantrax.com/player/02rlu/9yjz1a6kkry05u1b/craig-cathcart/fbuwvgeokry05u1g
William Troost-Ekong,WAT,D,2,https://www.fantrax.com/player/05trz/9yjz1a6kkry05u1b/william-troost-ekong/fbuwvgeokry05u1g
Christian Kabasele,WAT,D,2,https://www.fantrax.com/player/0436l/9yjz1a6kkry05u1b/christian-kabasele/fbuwvgeokry05u1g
Francisco Sierralta,WAT,D,2,https://www.fantrax.com/player/05ts0/9yjz1a6kkry05u1b/francisco-sierralta/fbuwvgeokry05u1g
Samir,WAT,D,2,https://www.fantrax.com/player/05yd2/9yjz1a6kkry05u1b/samir-caetano-de-souza-santos/fbuwvgeokry05u1g
Adam Masina,WAT,D,2,https://www.fantrax.com/player/04rim/9yjz1a6kkry05u1b/adam-masina/fbuwvgeokry05u1g
Danny Rose,WAT,D,2,https://www.fantrax.com/player/02lp2/9yjz1a6kkry05u1b/danny-rose/fbuwvgeokry05u1g
Hassane Kamara,WAT,D,2,https://www.fantrax.com/player/05ycu/9yjz1a6kkry05u1b/hassane-kamara/fbuwvgeokry05u1g
Peter Etebo,WAT,M,4,https://www.fantrax.com/player/05u95/9yjz1a6kkry05u1b/peter-etebo/fbuwvgeokry05u1g
Moussa Sissoko,WAT,M,4,https://www.fantrax.com/player/02ygz/9yjz1a6kkry05u1b/moussa-sissoko/fbuwvgeokry05u1g
Tom Cleverley,WAT,M,4,https://www.fantrax.com/player/02lmz/9yjz1a6kkry05u1b/tom-cleverley/fbuwvgeokry05u1g
Imran Louza,WAT,M,4,https://www.fantrax.com/player/05ts2/9yjz1a6kkry05u1b/imran-louza/fbuwvgeokry05u1g
Ozan Tufan,WAT,M,4,https://www.fantrax.com/player/05uwf/9yjz1a6kkry05u1b/ozan-tufan/fbuwvgeokry05u1g
Juraj Kucka,WAT,M,4,https://www.fantrax.com/player/05uoe/9yjz1a6kkry05u1b/juraj-kucka/fbuwvgeokry05u1g
Edo Kayembe,WAT,M,4,https://www.fantrax.com/player/05ydk/9yjz1a6kkry05u1b/edo-kayembe/fbuwvgeokry05u1g
Dan Gosling,WAT,M,4,https://www.fantrax.com/player/02ltx/9yjz1a6kkry05u1b/dan-gosling/fbuwvgeokry05u1g
Ken Sema,WAT,M,4,https://www.fantrax.com/player/04rtp/9yjz1a6kkry05u1b/ken-sema/fbuwvgeokry05u1g
Ismaila Sarr,WAT,"M,F",5,https://www.fantrax.com/player/05748/9yjz1a6kkry05u1b/ismaila-sarr/fbuwvgeokry05u1g
Emmanuel Dennis,WAT,"M,F",5,https://www.fantrax.com/player/05tz8/9yjz1a6kkry05u1b/emmanuel-dennis/fbuwvgeokry05u1g
Cucho Hernandez,WAT,F,6,https://www.fantrax.com/player/05udk/9yjz1a6kkry05u1b/juan-camilo-hernandez-suarez/fbuwvgeokry05u1g
Joao Pedro,WAT,F,6,https://www.fantrax.com/player/05g2o/9yjz1a6kkry05u1b/joao-pedro-junqueira-de-jesus/fbuwvgeokry05u1g
Joshua King,WAT,F,6,https://www.fantrax.com/player/02lnf/9yjz1a6kkry05u1b/joshua-king/fbuwvgeokry05u1g
Troy Deeney,WAT,F,6,https://www.fantrax.com/player/03ra1/9yjz1a6kkry05u1b/troy-deeney/fbuwvgeokry05u1g
Ashley Fletcher,WAT,F,6,https://www.fantrax.com/player/0452s/9yjz1a6kkry05u1b/ashley-fletcher/fbuwvgeokry05u1g
Samuel Kalu,WAT,F,6,https://www.fantrax.com/player/05yjo/9yjz1a6kkry05u1b/samuel-kalu/fbuwvgeokry05u1g
