Player,Team,Position,Position ID,Link
Emiliano Martinez,AVL,G,1,https://www.fantrax.com/player/02lz0/nzjt0of2l5v4kmsc/emiliano-martinez/iy9jb3ozl5v4kmt6
Robin Olsen,AVL,G,1,https://www.fantrax.com/player/05osa/nzjt0of2l5v4kmsc/robin-olsen/iy9jb3ozl5v4kmt6
Matty Cash,AVL,D,2,https://www.fantrax.com/player/05o4b/nzjt0of2l5v4kmsc/matty-cash/iy9jb3ozl5v4kmt6
Calum Chambers,AVL,D,2,https://www.fantrax.com/player/02t1j/nzjt0of2l5v4kmsc/calum-chambers/iy9jb3ozl5v4kmt6
Tyrone Mings,AVL,D,2,https://www.fantrax.com/player/03rec/nzjt0of2l5v4kmsc/tyrone-mings/iy9jb3ozl5v4kmt6
Ezri Konsa,AVL,D,2,https://www.fantrax.com/player/052ca/nzjt0of2l5v4kmsc/ezri-konsa/iy9jb3ozl5v4kmt6
Diego Carlos,AVL,D,2,https://www.fantrax.com/player/061v9/nzjt0of2l5v4kmsc/diego-carlos-santos-silva/iy9jb3ozl5v4kmt6
Jan Bednarek,AVL,D,2,https://www.fantrax.com/player/04fk9/nzjt0of2l5v4kmsc/jan-bednarek/iy9jb3ozl5v4kmt6
Lucas Digne,AVL,D,2,https://www.fantrax.com/player/04tm0/nzjt0of2l5v4kmsc/lucas-digne/iy9jb3ozl5v4kmt6
Ludwig Augustinsson,AVL,D,2,https://www.fantrax.com/player/062ov/nzjt0of2l5v4kmsc/ludwig-augustinsson/iy9jb3ozl5v4kmt6
Ashley Young,AVL,D,2,https://www.fantrax.com/player/02lny/nzjt0of2l5v4kmsc/ashley-young/iy9jb3ozl5v4kmt6
Douglas Luiz,AVL,M,4,https://www.fantrax.com/player/04spp/nzjt0of2l5v4kmsc/douglas-luiz-soares-de-paulo/iy9jb3ozl5v4kmt6
Boubacar Kamara,AVL,M,4,https://www.fantrax.com/player/061va/nzjt0of2l5v4kmsc/boubacar-kamara/iy9jb3ozl5v4kmt6
Leander Dendoncker,AVL,M,4,https://www.fantrax.com/player/04u6i/nzjt0of2l5v4kmsc/leander-dendoncker/iy9jb3ozl5v4kmt6
John McGinn,AVL,M,4,https://www.fantrax.com/player/051k0/nzjt0of2l5v4kmsc/john-mcginn/iy9jb3ozl5v4kmt6
Jacob Ramsey,AVL,M,4,https://www.fantrax.com/player/051k3/nzjt0of2l5v4kmsc/jacob-ramsey/iy9jb3ozl5v4kmt6
Philippe Coutinho,AVL,M,4,https://www.fantrax.com/player/02yhi/nzjt0of2l5v4kmsc/philippe-coutinho/iy9jb3ozl5v4kmt6
Emiliano Buendia,AVL,"M,F",5,https://www.fantrax.com/player/051kl/nzjt0of2l5v4kmsc/emiliano-buendia/iy9jb3ozl5v4kmt6
Leon Bailey,AVL,F,6,https://www.fantrax.com/player/05uns/nzjt0of2l5v4kmsc/leon-bailey/iy9jb3ozl5v4kmt6
Ollie Watkins,AVL,F,6,https://www.fantrax.com/player/05ocl/nzjt0of2l5v4kmsc/ollie-watkins/iy9jb3ozl5v4kmt6
Danny Ings,AVL,F,6,https://www.fantrax.com/player/03dxq/nzjt0of2l5v4kmsc/danny-ings/iy9jb3ozl5v4kmt6
Cameron Archer,AVL,F,6,https://www.fantrax.com/player/058vb/nzjt0of2l5v4kmsc/cameron-archer/iy9jb3ozl5v4kmt6
