Player,Team,Position,Position ID,Link
Vicente Guaita,CRY,G,1,https://www.fantrax.com/player/04rhc/nzjt0of2l5v4kmsc/vicente-guaita/iy9jb3ozl5v4kmt6
Nathaniel Clyne,CRY,D,2,https://www.fantrax.com/player/02t1k/nzjt0of2l5v4kmsc/nathaniel-clyne/iy9jb3ozl5v4kmt6
Chris Richards,CRY,D,2,https://www.fantrax.com/player/0635j/nzjt0of2l5v4kmsc/chris-richards/iy9jb3ozl5v4kmt6
Joel Ward,CRY,D,2,https://www.fantrax.com/player/0329y/nzjt0of2l5v4kmsc/joel-ward/iy9jb3ozl5v4kmt6
James Tomkins,CRY,D,2,https://www.fantrax.com/player/02rn6/nzjt0of2l5v4kmsc/james-tomkins/iy9jb3ozl5v4kmt6
Joachim Andersen,CRY,D,2,https://www.fantrax.com/player/05os8/nzjt0of2l5v4kmsc/joachim-andersen/iy9jb3ozl5v4kmt6
Marc Guehi,CRY,D,2,https://www.fantrax.com/player/050jq/nzjt0of2l5v4kmsc/marc-guehi/iy9jb3ozl5v4kmt6
Tyrick Mitchell,CRY,D,2,https://www.fantrax.com/player/05akv/nzjt0of2l5v4kmsc/tyrick-mitchell/iy9jb3ozl5v4kmt6
Cheick Oumar Doucoure,CRY,M,4,https://www.fantrax.com/player/062ot/nzjt0of2l5v4kmsc/cheick-oumar-doucoure/iy9jb3ozl5v4kmt6
Luka Milivojevic,CRY,M,4,https://www.fantrax.com/player/04ami/nzjt0of2l5v4kmsc/luka-milivojevic/iy9jb3ozl5v4kmt6
Jeffrey Schlupp,CRY,M,4,https://www.fantrax.com/player/03dyl/nzjt0of2l5v4kmsc/jeffrey-schlupp/iy9jb3ozl5v4kmt6
Will Hughes,CRY,M,4,https://www.fantrax.com/player/04f6o/nzjt0of2l5v4kmsc/will-hughes/iy9jb3ozl5v4kmt6
Eberechi Eze,CRY,M,4,https://www.fantrax.com/player/05nt6/nzjt0of2l5v4kmsc/eberechi-eze/iy9jb3ozl5v4kmt6
Michael Olise,CRY,M,4,https://www.fantrax.com/player/05u94/nzjt0of2l5v4kmsc/michael-olise/iy9jb3ozl5v4kmt6
Malcolm Ebiowei,CRY,"M,F",5,https://www.fantrax.com/player/062ck/nzjt0of2l5v4kmsc/malcolm-ebiowei/iy9jb3ozl5v4kmt6
Jordan Ayew,CRY,F,6,https://www.fantrax.com/player/03sgc/nzjt0of2l5v4kmsc/jordan-ayew/iy9jb3ozl5v4kmt6
Wilfried Zaha,CRY,F,6,https://www.fantrax.com/player/0327v/nzjt0of2l5v4kmsc/wilfried-zaha/iy9jb3ozl5v4kmt6
Odsonne Edouard,CRY,F,6,https://www.fantrax.com/player/05w9q/nzjt0of2l5v4kmsc/odsonne-edouard/iy9jb3ozl5v4kmt6
Jean-Philippe Mateta,CRY,F,6,https://www.fantrax.com/player/05r8o/nzjt0of2l5v4kmsc/jean-philippe-mateta/iy9jb3ozl5v4kmt6
